アクター設定,アーシア 通常,,
本文,星が綺麗っすね\|\^,The stars sure are pretty.\|\^,
アクター設定,カイト 驚き・動揺,,
本文,ほんとだ…\|\^,You can say that again...\|\^,
アクター設定,アーシア 通常,,
本文,皮肉ですよね\|\^,Pretty ironic\c huh?\|\^,
アクター設定,アーシア 笑顔,,
本文,街の灯りがないから\.,With no streetlamps for miles\c\.,
本文,こんなに輝いて見えるんですよ\|\^,they really have their shine,on up there.\|\^
アクター設定,カイト 通常,,
本文,不思議ですね\|\^,It's strange...\|\^,
アクター設定,アーシア 驚き・動揺,,
本文,なにがっすか？\|\^,What is?\|\^,
アクター設定,カイト 不信・怒り,,
本文,マモノがいて,This is a really dangerous place,
本文,危険な場所なのに\|\^,with monsters all around\c but...\|\^,
アクター設定,カイト 不信・怒り,,
本文,時間がゆっくりと,It feels like time is going,
本文,流れてる感じがします\|\^,at a slow\c comfortable crawl.\|\^,
アクター設定,アーシア 笑顔,,
本文,むふふ…\.,Heh heh heh.\.,
本文,まるで詩人っすね\|\^,Someone's a poet.\|\^,
