アクター設定,レミィ 通常,
本文,…\|\^,...\|\^
アクター設定,アーシア 驚き・動揺,
本文,\N[3]さーん？\|\^,\N[3]?\|\^
アクター設定,アーシア 驚き・動揺,
本文,聞いてますかー？\|\^,Are you listening?\|\^
アクター設定,レミィ 通常,
本文,えぇ…\.,Yes.\.
本文,盲点だったわ\|\^,It was a blind spot.\|\^
アクター設定,アーシア 不信・怒り,
本文,\N[3]さーん\.,\N[3].\.
本文,反応 薄すぎですよ！\|\^,That's all you have to say?!\|\^
アクター設定,アーシア 通常,
本文,会話の基本はキャッチボールです！\|\^,A conversation is like a game of catch.\|\^
アクター設定,レミィ 通常,
本文,…？\|\^,…?\|\^
アクター設定,レミィ 驚き・動揺,
本文,球技の話？\|\^,Are you talking about sports?\|\^
アクター設定,アーシア 悲しみ・焦り,
本文,してない！\|\^,No!\|\^
