アクター設定,,,
本文,魔法の属性と装備について,About Magic Elements and Equipment,
アクター設定,ニナ 通常,,
本文,魔法に関することは,You can change the settings for magic,
本文,メニュー画面の「Magic」から設定できるよ,from the menu's Magic section.,
アクター設定,ニナ 通常,,
本文,これが\N[5]の魔法の状態だね,This is your magic state.,
アクター設定,ニナ 通常,,
本文,上から順に…,Going in order from the top\c\.,
アクター設定,ニナ 通常,,
本文,黒属性の魔法を装備できる枠が２つ,there are two slots to equip black magic spells\c,
アクター設定,ニナ 通常,,
本文,黒属性と炎属性のどちらか…,then a slot for either a black spell or a fire spell\c,
アクター設定,ニナ 通常,,
本文,黒属性と氷属性のどちらかの,then a slot for either a black spell or an ice spell\c,
本文,魔法を装備できて…,,
アクター設定,ニナ 通常,,
本文,最後の共通属性の魔法を合わせて,and finally a common element spell slot,
本文,５つ装備できるみたい,that brings the total to five spells,that can be equipped at once.
