アクター設定,ニナ 驚き・動揺,
本文,誰か炎属性か氷属性の魔法を,If there was someone
本文,使える人がいたら…,who could use fire or ice spells\c\.
アクター設定,ニナ 驚き・動揺,
本文,\N[5]も炎属性か氷属性の魔法を,it would allow \N[5] to
本文,装備できるんだけど,equip a fire or ice spell as well\c\.
アクター設定,ニナ 驚き・動揺,
本文,わたしは雷属性だから,but I use lightning spells\c\.
本文,\N[5]に魔法 教えられないね…,so I can't teach \N[5].
アクター設定,ニナ 通常,
本文,わたしは雷属性の魔法を使えるほかに,In addition to lightning spells\c\.
本文,白属性の魔法も使えるよ,I can use white magic spells.
アクター設定,ニナ 通常,
本文,だから\N[4]さんの魔法を,That's why you're able to equip
本文,ひとつ装備することができるんだ,one spell that belongs to \N[4].
