アクター設定,,,,
本文,教師が人間の鑑とはかぎらない,Teachers might not be regular people.,,
アクター設定,マリー 笑顔,,,
本文,\N[5]くん\.,\N[5].\.,,
本文,いいねぇ\. いいねぇ\.,Very nice\c\. very nice.\.,,
アクター設定,カイト 通常,,,
本文,え…\.と\.,Um...\.\.,,
本文,何がでしょう？,What's nice?,,
アクター設定,マリー 特殊１,,,
本文,何って！？\.,What do you mean?!\.,,
本文,初バトルなのに余裕じゃん！,You seem at ease with your first battle!,,
アクター設定,カイト 驚き・動揺,,,
本文,そんな…\.,That's just a coincidence.,,
本文,たまたまですよ,,,
アクター設定,マリー 笑顔,,,
本文,またまた…\.,Oh\c don't be so modest.,,
本文,謙遜しちゃって,,,
アクター設定,マリー 通常,,,
本文,とは言ってもだね…,Although...,,
アクター設定,マリー 通常,,,
本文,この先 \.危ない目にあわないためにも,Just to make sure nothing bad happens\c,,
アクター設定,マリー 通常,,,
本文,一度\.バトルのなんたるかを\.,I should teach you what battles are.,,
本文,教えておいた方が良いと思うのだよ,,,
アクター設定,カイト 通常,,,
本文,バトルについて教えてくれるみたい\.,Sounds like she wants to teach me about battles.\.,,
本文,どうしようかな…,What should I say?,,
選択肢の準備,教えて欲しいです,今日はちょっと…,Please teach me.,I'm okay for today.
選択肢の遷移先,0,教えて欲しいです,Please teach me.,
アクター設定,マリー 笑顔,,,
本文,素直でよろしい！,Good!,,
アクター設定,マリー 通常,,,
本文,じゃあさっそく…\.,Now\c then...\.,,
本文,と言いたいところなんだけど,I'd say let's get started\c but...,,
アクター設定,マリー 通常,,,
本文,端末を貸してくれたまへ\.,Let me see your terminal\c\.,,
本文,\N[5]くん,\N[5].,,
アクター設定,カイト 通常,,,
本文,はい\.どうぞ,Okay\c\. here you go.,,
アクター設定,マリー 笑顔,,,
本文,これをポチッとな,Just gotta click here.,,
アクター設定,カイト 通常,,,
本文,…？,...?,,
アクター設定,マリー 笑顔,,,
本文,おめでとう！\.,Congrats\c\.,,
本文,\N[5]くん,\N[5]!,,
アクター設定,カイト 驚き・動揺,,,
本文,えっ…？,What...?,,
アクター設定,マリー 通常,,,
本文,メニュー画面のLibraryコマンドに\.,I added a Help command\.,,
本文,Helpコマンドを追加したよ,in the main menu's library menu.,,
アクター設定,カイト 通常,,,
本文,はい\.,Okay\c\.,,
本文,ありがとうございます,thank you very much.,,
アクター設定,マリー 通常,,,
本文,ってことで\.,So\c\.,,
本文,じゃんじゃん予習復習したまへ,make sure you review and study.,,
アクター設定,カイト 驚き・動揺,,,
本文,あれ…？\.,Huh...?\.,,
本文,教えてくれると云うのは…,Weren't you going to teach me?,,
アクター設定,マリー 通常,,,
本文,ん…？\.,Hm...?\.,,
本文,調べ方 教えたじゃん,I just taught you how to look it up.,,
アクター設定,カイト 不信・怒り,,,
本文,確かに…そうですけど,Yes\c that's true\c but...,,
選択肢の遷移先,1,今日はちょっと…,I'm okay for today.,
アクター設定,マリー 通常,,,
本文,そっか…\.,I see.\.,,
本文,それじゃあ仕方ないね,Okay\c then.,,
アクター設定,マリー 笑顔,,,
本文,どんどん進んで\.,Let's keep moving\.,,
本文,ちゃっちゃと終わらせて,and take care of this quickly.,,
アクター設定,マリー 特殊１,,,
本文,コーヒー牛乳だ！\.,It's coffee milk time\c,,
本文,\N[5]くん,\N[5]!,,
アクター設定,カイト 不信・怒り,,,
本文,は\. はぁ…,O-\.Okay...,,
