アクター設定,市場の人 通常,,
本文,この間 捕まった盗賊だが…,Remember that bandit ,they caught the other day?
アクター設定,市場の人 通常,,
本文,まだ他にも仲間がいるらしい,He's got friends around\c apparently.,
アクター設定,市場の人 通常,,
本文,自由に商売ができるとはいえ\.,I'm glad I can do business freely here\c\.,
本文,うんざりだよ…,but I'm sick of these guys...,
アクター設定,マリー 通常,,
本文,だったら統治者に,Then how about you make a,
本文,請願でもすればいいじゃん,complaint to the sovereign?,
アクター設定,市場の人 通常,,
本文,そうは言ってもなぁ…\.,Sounds good on paper\c\.,
本文,今の領主にコネクションないんだよ,but I don't have connections,with the current ruler.
