アクター設定,ソラ 不信・怒り,,
本文,悪いね\.,Sorry.\.,
本文,追い出すみたいになっちゃって,Didn't mean to kick you out.,
アクター設定,カイト 不信・怒り,,
本文,いえ…,It's okay.,
アクター設定,カイト 不信・怒り,,
本文,街中で魔法を\.,It's true\.,
本文,使ってしまったのは,that I used magic,
アクター設定,カイト 不信・怒り,,
本文,事実ですし…,in the middle of the city.,
アクター設定,カイト 不信・怒り,,
本文,元々 ボクは\.,I'm not originally from\.,
本文,孤児院の人間ではないですから,the orphanage anyway.,
アクター設定,カイト 不信・怒り,,
本文,みんなに迷惑かけられないですし,I can't cause trouble for everyone.,
アクター設定,ソラ 通常,,
本文,ほとぼりが冷めたら\.,Come hang out again anytime\.,
本文,また いつでも遊びにおいでよ,once things settle down.,
アクター設定,カイト 不信・怒り,,
本文,はい…,Thank you.,
アクター設定,ソラ 不信・怒り,,
本文,\N[5]\.,\N[5]\c\.,
本文,気持ちはわかるけどさ,I know how you feel\c,
アクター設定,ソラ 通常,,
本文,いつまでもウジウジするんじゃない！,but stop throwing a pity party!,
アクター設定,カイト 驚き・動揺,,
本文,えっ…！？,What?!,
アクター設定,ソラ 不信・怒り,,
本文,\N[14]…\.さんは\.,\N[14] could have been\.,
本文,保護されてるかもしれないし,taken in.,
アクター設定,ソラ 通常,,
本文,\N[4]のバカは\.,And I doubt that idiot \N[4]\.,
本文,あんなことでくたばるわけないし,would die from that.,
アクター設定,ソラ 通常,,
本文,二人とも\.,The two of them\.,
本文,隠れてるだけ\. かもしれないじゃない,might just be\. hiding.,
アクター設定,ソラ 通常,,
本文,困ってる\N[5]を\.,You know\c\.,
本文,驚かそうとしててさ,trying to startle you.,
アクター設定,カイト 不信・怒り,,
本文,…,...,
アクター設定,ソラ 驚き・動揺,,
本文,だから…,So...,
アクター設定,カイト 通常,,
本文,ボクは…,I'm okay.,
本文,大丈夫です,,
アクター設定,ソラ 通常,,
本文,そっか…,Okay.,
アクター設定,カイト 通常,,
本文,色々とありがとうございました,Thank you for everything.,
アクター設定,カイト 笑顔,,
本文,みんなにも\.,Please give my regards\.,
本文,よろしくお伝え下さい,to everyone else.,
アクター設定,ソラ 通常,,
本文,あぁ！\.,Yeah!\.,
本文,ちゃんと伝えとくよ,I will.,
アクター設定,カイト 通常,,
本文,それでは…\.,Well\c\.,
本文,お世話になりました,thank you.,
アクター設定,ソラ 通常,,
本文,\N[5],\N[5].,
アクター設定,ソラ 不信・怒り,,
本文,くれぐれも\.,Stay out of trouble.,
本文,変な気を起こすんじゃないよ,,
アクター設定,ソラ 不信・怒り,,
本文,自分で責任負おうとするんじゃないよ,Don't try to take responsibility ,for everything.
アクター設定,ソラ 不信・怒り,,
本文,\N[5]は\.,You're still a kid.\.,
本文,まだ子供だし\.,,
アクター設定,ソラ 不信・怒り,,
本文,何も悪くないんだから,It's not your fault.,
アクター設定,ソラ 不信・怒り,,
本文,（\N[4]は\.,(What did \N[4] do?),
本文,　一体 何をしたんだ…？）,,
アクター設定,,,
本文,ボクは街中で魔法を使った,I used magic in the middle of the city.,
アクター設定,,,
本文,例の魔法使いがマモノになってしまう\.,Thanks to that rumor that says\.,
本文,という噂のせいで…,wizards turn into monsters...,
アクター設定,,,
本文,もう孤児院には,I can't trouble the orphanage any more.,
本文,迷惑かけられない,,
アクター設定,,,
本文,街の人たちは…,The people in the city...,
アクター設定,,,
本文,なぜか誘拐事件は\.,They think the kidnapping\.,
本文,解決したと思っている,is over for some reason.,
アクター設定,,,
本文,でも\. あの場に居合わせた人たちは,However\c\. the people who were there,
本文,ボクが魔法を使ったことを覚えてない,don't remember that I used magic.,
アクター設定,,,
本文,そんなはずはない,How could they?,
本文,だって…,I mean...,
アクター設定,,,
本文,ボクは…,I...,
アクター設定,カイト 不信・怒り,,
本文,\N[14]…\.,\N[14]...\.,
本文,\N[4]先生…,Miss \N[4]...,
アクター設定,カイト 不信・怒り,,
本文,これから どうしよう…,What am I going to do?,
