アクター設定,アーシア 通常,
本文,お…！\.,Whoa...!\.
アクター設定,アーシア 通常,
本文,少年！,Kid!
本文,どうしたの？,What's wrong?
アクター設定,アーシア 通常,
本文,辛気臭い顔して,Why the long face?
アクター設定,レミィ 通常,
本文,あら…\.,Oh...\.
本文,貴方は,You're...
アクター設定,カイト 通常,
本文,こんにちわ,Hello.
アクター設定,レミィ 通常,
本文,えぇ こんにちわ,Yes\c hello.
アクター設定,アーシア 笑顔,
本文,一人で 何してんの？,What are you doing by yourself?
アクター設定,カイト 笑顔,
本文,いえ… 特には,Nothing in particular.
アクター設定,レミィ 通常,
本文,…,...
アクター設定,レミィ 通常,
本文,あまり褒められたものではないわ,It's nothing to be proud of.
アクター設定,カイト 通常,
本文,そうですよね\.,Yes.\.
本文,あんなことがあったばかりで…,Not after that happened.
アクター設定,アーシア 笑顔,
本文,あぁ\.,Yeah.\.
本文,そんなこともありましたねぇ,That thing that happened.
アクター設定,アーシア 驚き・動揺,
本文,ってか 少年！\.,Hold on\c kid!\.
本文,当事者じゃないですか,You're the one who did it.
アクター設定,レミィ 通常,
本文,そうでしたの？,Is he?
アクター設定,レミィ 不信・怒り,
本文,\N[1]\.,\N[1]\c\.
本文,今のは聞いていないわ,you never told me that.
アクター設定,アーシア 通常,
本文,そりゃあ\.,Yeah\c\.
本文,聞かれてねーですもん,because you never asked me.
アクター設定,レミィ 通常,
本文,貴方,Well\c\.
アクター設定,レミィ 通常,
本文,もしよければ,if you don't mind\c\.
アクター設定,レミィ 通常,
本文,例の誘拐事件について\.,I have a few questions regarding\.
本文,いくつか聞いていいかしら？,the kidnappings.
アクター設定,カイト 通常,
本文,えぇ…\.,Of course.\.
本文,ボクでよければ,I'll answer whatever I can.
アクター設定,アーシア 悲しみ・焦り,
本文,\N[3]さん\.,\N[3]\c\.
本文,お話を聞くなら…,if you're going to ask questions...
アクター設定,アーシア 悲しみ・焦り,
本文,落ち着けるところに\.,we should move to somewhere\.
本文,場所変えましょうよ,a little more comfortable.
アクター設定,カイト 通常,
本文,ボクは構わないですけど…,I don't mind.
アクター設定,レミィ 通常,
本文,…,...
アクター設定,レミィ 通常,
本文,場所を変えましょう,Let's go somewhere else.
アクター設定,アーシア 勝利・喜び,
本文,ほい 決まり！\.,Yes\c it's decided!\.
アクター設定,アーシア 通常,
本文,みんなで\.,Let's all go get tea together.\.
本文,お茶しにレッツラゴーだね,
アクター設定,カイト 通常,
本文,（もしかしたら…\.,(I might be able\.
本文,　\N[14]のことも聞けるかもしれない）,to ask about \N[14].)
アクター設定,カイト 通常,
本文,どこに行きましょう？,Where shall we go?
アクター設定,アーシア 通常,
本文,んー この辺りにですね\.,I hear there's a nice cafe\.
本文,いい感じの喫茶店があるらしいんで,somewhere around here.
アクター設定,アーシア 通常,
本文,そこにしようよ,Let's go there.
