アクター設定,緊張しい魔法使い 通常,
本文,ふぁ \.ふぁいとです！,K-Keep fighting!
本文,\N[5]さん！,
アクター設定,カイト 通常,
本文,えっ…？,Huh?
アクター設定,緊張しい魔法使い 通常,
本文,為せば成る\.,Everything starts with trying!
本文,為さねば成らぬ何事も！,
アクター設定,緊張しい魔法使い 通常,
本文,です！,Yes!
アクター設定,カイト 通常,
本文,それは…？,What's that?
アクター設定,緊張しい魔法使い 通常,
本文,昔 戦場で勇気づけられた,It's a mantra that helped me
本文,格言みたいなものです,on the front lines long ago.
アクター設定,緊張しい魔法使い 通常,
本文,くじけそうな時\.,Sometimes I chant it
本文,思い出したりなんかして…,when I'm feeling down.
アクター設定,カイト 笑顔,
本文,ありがとうございます,Thank you.
アクター設定,カイト 笑顔,
本文,ボクは大丈夫ですよ,I'm okay.
アクター設定,緊張しい魔法使い 通常,
本文,あっ…\.,Oh...\.
本文,よ\. よかったです,Th-That's good to hear.
アクター設定,緊張しい魔法使い 通常,
本文,あ\. あれ… ,Oh\c no.
アクター設定,緊張しい魔法使い 通常,
本文,わ\. わ\. わ\. わたし,D-D-Did I ask something
本文,また聞いてはいけないことを！？,I shouldn't have again?!
アクター設定,カイト 通常,
本文,いえ…,No.
本文,学校には 以前通ってました,I used to go to school.
アクター設定,カイト 通常,
本文,今は…,But now...
アクター設定,緊張しい魔法使い 通常,
本文,あ…,Oh...\.
アクター設定,緊張しい魔法使い 通常,
本文,あ\. あの…！,E-Excuse me!
アクター設定,緊張しい魔法使い 通常,
本文,学校に通われていると聞きました！,I heard you attend school!
アクター設定,カイト 驚き・動揺,
本文,それをどこで…,Where did you hear that?
アクター設定,緊張しい魔法使い 通常,
本文,\N[3]さんからです！,From \N[3]!
