アクター設定,マリー 通常,,,,,
本文,では…\.,That's all\.,,,,
本文,今日の授業はここまででーす,for today's lesson.,,,,
アクター設定,マリー 笑顔,,,,,
本文,あー…そうそう,Oh\c one more thing.,,,,
アクター設定,マリー 笑顔,,,,,
本文,来週から元の担当が産休から戻るので\.,Your homeroom teacher is returning,,,is returning from maternity leave,next week\c\.
本文,アタシとは今日でお別れでーす,from maternity leave next week\c\.,so today's our last day together.,,,
アクター設定,生徒Ａ 笑顔,,,,,
本文,えぇーっ！,What?!,,,,
アクター設定,生徒Ｂ 笑顔,,,,,
本文,\N[4]先生が良いのに,We like you!,,,,
アクター設定,マリー 笑顔,,,,,
本文,おおぅ！\.,Oh!\.,,,,
本文,キミたち いいねぇいいねぇ,You're great kids!,,,,
アクター設定,生徒Ｂ 笑顔,,,,,
本文,だって\.,I mean\c,,,,
本文,\N[4]先生かわいいし,you're so cute.,,,,
アクター設定,生徒Ａ 笑顔,,,,,
本文,授業中寝てても怒らないし,And you don't get mad when we sleep,during class.,,,
アクター設定,マリー 特殊１,,,,,
本文,いいぞキミたち\.,Yeah\c\.,,,,
本文,もっとアタシの株を上げたまへ！,keep talking me up!,,,,
アクター設定,生徒Ｂ 笑顔,,,,,
本文,じゃあ先生さようならー,Bye\c Miss \N[4].,,,,
アクター設定,マリー 笑顔,,,,,
本文,宿題忘れんなよ～,Don't forget to do your homework.,,,,
アクター設定,マリー 笑顔,,,,,
本文,歯 磨けよ～,Brush your teeth.,,,,
アクター設定,マリー 通常,,,,,
本文,はぁーあ,*sigh*,,,,
アクター設定,マリー 驚き・動揺,,,,,
本文,くだらない生徒ばっか！,God\c\. these students are worthless!,,,,
アクター設定,マリー 不信・怒り,,,,,
本文,魔法学校も\.,The quality of the magic school,,,,
本文,墜ちたもんだね,really took a nose dive over the years.,,,,
アクター設定,マリー 不信・怒り,,,,,
本文,バカの振りしてると\.,All I get are idiots\.,,,,
本文,バカしか寄ってこねぇし…,when I pretend to be stupid.,,,,
アクター設定,マリー 通常,,,,,
本文,元\.・魔法学校だし\.,I used to go here.\.,,,,
本文,そんなもんか,I guess that's how it goes.,,,,
アクター設定,マリー 通常,,,,,
本文,さて…\.,Now then.\.,,,,
本文,今日はもう授業ないし,I don't have class anymore.,,,,
アクター設定,マリー 通常,,,,,
本文,お昼ご飯にでも\.,Time to go to lunch.\.,,,,
本文,行くとするかね,,,,,
