アクター設定,ミシェル 通常,,,,,,,
本文,…さん,...,,,,,,
アクター設定,,,,,,,,
本文,…,...,,,,,,
アクター設定,ミシェル 通常,,,,,,,
本文,…さん！,...!,,,,,,
アクター設定,,,,,,,,
本文,あなたは…,You're...,,,,,,
アクター設定,ミシェル 通常,,,,,,,
本文,こうして会うのは\.,I believe this is our first time\.,,,,,,
本文,初めてですね,meeting like this.,,,,,,
アクター設定,ミシェル 通常,,,,,,,
本文,ワタシのこと\.,Do you\. remember me?,,,,,,
本文,覚えていますでしょうか？,,,,,,,
アクター設定,,,,,,,,
本文,この人は確か…,,,,,,,
選択肢の準備,知らない,知らない,\N[7]さん,知らない,I don't remember.,I don't remember.,\N[7].,I don't remember.
選択肢の遷移先,0,知らない,I don't remember.,,,,,
選択肢の遷移先,1,知らない,I don't remember.,,,,,
選択肢の遷移先,2,\N[7]さん,\N[7].,,,,,
選択肢の遷移先,3,知らない,I don't remember.,,,,,
アクター設定,ミシェル 特殊１,,,,,,,
本文,そうですか…,I see.,,,,,,
アクター設定,,,,,,,,
本文,ごめんなさい,I'm sorry.,,,,,,
アクター設定,,,,,,,,
本文,お会いしたことは\.,I remember meeting you\c\.,,,,,,
本文,覚えていますけど…,,,,,,,
アクター設定,,,,,,,,
本文,名前が…,but your name...,,,,,,
アクター設定,ミシェル 特殊１,,,,,,,
本文,いいんです,It's okay.,,,,,,
アクター設定,ミシェル 悲しみ・焦り,,,,,,,
本文,影が薄い\.,It could be my fault\.,,,,,,
本文,ワタシのせいかもしれないので,for not standing out so much.,,,,,,
アクター設定,,,,,,,,
本文,\N[7]さん,\N[7].,,,,,,
アクター設定,ミシェル 笑顔,,,,,,,
本文,覚えていらっしゃったのですね\.,You remembered.\.,,,,,,
本文,嬉しいです,I'm so happy.,,,,,,
アクター設定,,,,,,,,
本文,これは…？,What's this?,,,,,,
アクター設定,ミシェル 特殊１,,,,,,,
本文,\N[5]さん,\N[5].,,,,,,
アクター設定,ミシェル 特殊１,,,,,,,
本文,まずはアナタに\.,First\c\.,,,,,,
本文,謝らなければなりません,I have to apologize to you.,,,,,,
アクター設定,,,,,,,,
本文,というと？,Why?,,,,,,
アクター設定,ミシェル 悲しみ・焦り,,,,,,,
本文,妹の\N[4]が\.,My younger sister \N[4]\.,,,,,,
本文,とてもご迷惑をおかけしました,has caused you much trouble.,,,,,,
アクター設定,ミシェル 悲しみ・焦り,,,,,,,
本文,\N[5]さんの記憶を\.,She forcibly erased\.,,,,,,
本文,強引に消してしまって,your memories.,,,,,,
アクター設定,,,,,,,,
本文,え…？,What?,,,,,,
アクター設定,,,,,,,,
本文,ボクはやっぱり…,So I...,,,,,,
アクター設定,ミシェル 不信・怒り,,,,,,,
本文,結論から申し上げます,I'll come right out and say it.,,,,,,
アクター設定,ミシェル 不信・怒り,,,,,,,
本文,ワタシたちはアナタ自身の記憶と,We have erased your memories\c\.,,,,,,
アクター設定,ミシェル 不信・怒り,,,,,,,
本文,\N[5]さんに関わった人たちの記憶を…,as well as the memories\.,,,,,,
アクター設定,ミシェル 特殊１,,,,,,,
本文,一度\. 消しています,of anyone who knew you.,,,,,,
アクター設定,,,,,,,,
本文,…,...,,,,,,
アクター設定,ミシェル 特殊１,,,,,,,
本文,信じられないかもしれませんが…,I know it may be unbelievable...,,,,,,
アクター設定,,,,,,,,
本文,嘘ですよ,You're lying.,,,,,,
アクター設定,ミシェル 驚き・動揺,,,,,,,
本文,え？,What?,,,,,,
アクター設定,,,,,,,,
本文,ボクは\N[7]さんのこと\.,I remembered you.\.,,,,,,
本文,覚えていました,,,,,,,
アクター設定,,,,,,,,
本文,卒業祝いの時\.,We met at my\.,,,,,,
本文,お会いしています,graduation party.,,,,,,
アクター設定,ミシェル 笑顔,,,,,,,
本文,フフ…\.,Hehe.\.,,,,,,
アクター設定,ミシェル 笑顔,,,,,,,
本文,そうですよね,That's right.,,,,,,
アクター設定,ミシェル 笑顔,,,,,,,
本文,聞いてた通り！\.,You're as smart\.,,,,,,
本文,\N[5]さんは賢いですね,as they say you were!,,,,,,
アクター設定,ミシェル 通常,,,,,,,
本文,ですけれど\.,However\c\.,,,,,,
本文,これは現実として…,this is real.,,,,,,
アクター設定,ミシェル 通常,,,,,,,
本文,\N[5]さんには\.,I believe you have the right\.,,,,,,
本文,すべてを理解して頂いたうえで,to make a decision,,,,,,
アクター設定,ミシェル 通常,,,,,,,
本文,選んでもらう権利があると思います,after hearing all the facts.,,,,,,
アクター設定,,,,,,,,
本文,…？,...?,,,,,,
