アクター設定,マリー 不信・怒り,
本文,（あーあ…\.,(*sigh*\.
本文,　普通の授業って退屈…）,Regular class is boring.)
アクター設定,マリー 通常,
本文,授業終わったし\. 帰るか…,Class is out now.\. I guess I'll go home.
アクター設定,マリー 不信・怒り,
本文,何…？\.,What?\.
本文,邪魔なんだけど,You're in my way.
アクター設定,女生徒Ａ 通常,
本文,聞いたよ？\.,I heard they made you quit\.
本文,魔法の研究\. 辞めさせられたんだって？,your magic research.
アクター設定,女生徒Ｂ 通常,
本文,当然よね…,I mean\c of course they did.
アクター設定,女生徒Ｂ 通常,
本文,魔法なんて害でしかないんだし,Magic can only cause harm.
アクター設定,マリー 不信・怒り,
本文,…,...
アクター設定,マリー 苦痛・ダメージ,
本文,いったぁ…！\.,Ow!\.
本文,何すんの！？,What did you do that for?!
アクター設定,女生徒Ａ 通常,
本文,調子のってんなよ\.,Don't get carried away.\.
本文,偉そうにしやがって,Check your pompous attitude.
アクター設定,マリー 驚き・動揺,
本文,はっ！？,What?!
アクター設定,女生徒Ｂ 通常,
本文,姉がいないと\.,You can't do anything\.
本文,何もできないくせに,without your older sister.
アクター設定,マリー 不信・怒り,
本文,お姉ちゃんは関係ないでしょ！,What's she have to do with anything?
アクター設定,マリー 苦痛・ダメージ,
本文,暴力ふるって\.,Is violence fun?
本文,楽しい…？,
アクター設定,マリー 驚き・動揺,
本文,自分たちより優れている人を叩いて\.,Does it feel good to hit someone\.
本文,気持ちいいわけ？,better than you?
アクター設定,女生徒Ａ 通常,
本文,こいつっ！,You little!
アクター設定,女生徒Ａ 通常,
本文,笑えるな\.,It's hilarious.\.
本文,教師も見て見ぬふりだよ,Even the teachers ignore us.
アクター設定,女生徒Ａ 通常,
本文,随分\. 嫌われてるんだな？,They must\. really hate you.
アクター設定,女生徒Ｂ 通常,
本文,生徒会長の姉…\.,Your student president of an older sister
本文,卒業して\. もういない,graduated\c\. and isn't here anymore.
アクター設定,女生徒Ｂ 通常,
本文,あなたの味方は\.誰もいない,There's nobody here to protect you now.
