0,
1,Initial Map
2,Underground?
3,Estate
4,School Music Room
5,School Room
6,Cafe
7,Camp
8,Camp (Night)
9,Old Magic School 1F
10,Third District
11,■■■■■
12,■■■■■
13,???
14,Uncharted Village
15,Nina’s House
16,Third District (Night)
17,Village House
18,Undefined
19,Clock Tower Roof
20,Orphanage Ruins
21,Third District
22,Marketplace
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,Third District
33,Marketplace
34,Old Magic School 1F
35,Old Magic School 2F
36,Secret Mountain
37,Orphanage
38,Orphanage 2F
39,Tunnel
40,Clock Tower 1F
41,Clock Tower 2F
42,Clock Tower 3F
43,Clock Tower 4F
44,Clock Tower 5F
45,Third District
