1,,\N[5],\N[5] is a 13 year-old student who,attends the old magic school. Though an,excellent student\c his demure nature,leads to much bullying. An encounter,with a monster awakens his magic,powers\c and his element is black.,He lives in the school dorm.,,,,,,
2,,\N[5],Ended up living in \\N[6]’s orphanage,under the guise of extracurricular,activities. Holds on dearly to the,piano tuner his father threw away.,,,,,,,,,
3,,\N[5],After passing \N[4]’s quiz exam\c,graduated from the old magic school,and began working as a wizard under,\N[3].,,,,,,,,,
4,,\N[5],Joined the expedition to slay monsters,in the northern snowfields. Disappeared,after being caught in an avalanche.,,,,,,,,,,
5,,\N[5],Was discovered in a snowy village,by \N[4] and \N[2].,,,,,,,,,,,
6,,\N[5],After leaving \N[3]’s employ\c began,working in a cafe with \N[2].,,,,,,,,,,,
7,,\N[5],Fought valiantly against the monsters ,in the third district during the second,night of black snow\c but disappeared,after fighting the chimera.,,,,,,,,,
8,,\N[5],\N[5]’s black element and natural,abilities allow him to use memories,to augment the magic power of others.,However\c much like the Black Pearl,of old\c too much of this power will,turn the subject into a monster.,,,,,,,
9,,\N[5],Consent Form:,This record is an explanation,of the purpose and process of,Subject \N[5]’s memory erasure. If you,have any questions\c please ask.,Enforcer: \N[7],(Contents Abridged),I have been fully informed and,give my informed consent.,Signature: \N[5],,,
10,,\N[5],\m,,,,,,,,,,,,
11,,\N[5],Lowering Danger Level:,After analysis of the experimentation,results as well as monsters and magic\c,subject is judged to pose no problems ,in interacting with the outside world.,Subject engaged with \N[14]\c,led by compatriot \N[1].,Safety was confirmed\c with,no particularly alarming signs.,Subject will continue to be observed\c,with lowered danger level.,,
51,,\N[4],\N[4] is a part-time teacher,at the old magic school.,She’s fond of coffee milk.,,,,,,,,,,
52,,\N[4],Has no set subject to teach. Met \[N5],after encountering a monster on,her night watch. Has deep knowledge,of magic\c as well as combat experience.,Attuned to the white element.,,,,,,,,
53,,\N[4],Was an enthusiastic researcher of magic,during her student days\c but with the,school’s change in priorities\c she was ,unable to get the results she desired.,However\c she kept on working\c soon,graduating as valedictorian. Has a,half-sister she shares a father with.,,,,,,
54,,\N[4],Researcher Aptitude:,Has an excellent portfolio\c but a,problematic personality. Often looks,down on others\c and there are many ,reports of her talking back to,instructors. This attitude grew only,stronger after the graduation of her,sister\c a year ahead of her\c and she ,continues to obsessively research magic.,For the aforementioned reasons\c she is,judged to be inapt for the,researcher position.,
55,,\N[4],Joined the expedition to slay monsters,in the northern snowfields.,,,,,,,,,,,
56,,\N[4],Created a laboratory under the old,magic school where she researches,monsters and magic in secret.,,,,,,,,,,
57,,\N[4],Recovered the Black Pearl fragment,discovered in the northern snowfields.,It was thought to be physically torn,from \N[1] after she had transformed,into a monster.,,,,,,,,
58,,\N[4],“So this is where I should,write my records…?” ,“Heyyy! \N[3]! You’re not supposed to,just write down exactly what you say!”,“Oh no?”,“Hey! Stop doing that!,You’re messing up the record!”,“Oh…?”,,,,,
59,,\N[4],Was in \N[3]’s employ as a wizard for,a time\c but quit after a mere day\c,thought to have been driven by,a minor argument they had.,,,,,,,,,
60,,\N[4],Fought valiantly against the monsters,in the third district during the,second night of black snow.,,,,,,,,,,
61,,\N[4],\N[4] hypothesized that beings turned,into monsters from a black magic,infection through memories.,She then proposed that \N[14] could be,turned back by erasing all of her,memories of \N[5].,,,,,,,
62,,\N[4],She then joined Project Re:Kuroi\c,a plan led by \N[7] to erase \N[5]’s,memories of magic.,,,,,,,,,,
63,,\N[4],She managed to return \N[14] to her,human form. After Project Re:Kuroi\c,she left a letter saying she was off,to look for a friend and disappeared.,,,,,,,,,
64,,\N[4],“Hey\c you. Yeah\c you. Not \N[5]\c,not sis\c you. This is just my,hypothesis\c but if anyone’s reading,this\c they’re either going to be far in,the future\c or in a dimension where,neither I nor sis even existed.,I don’t really care about you\c but if,you see me and \N[5] somewhere\c ,do me a favor and shut up about it\c,okay? I’m…I’m sure you know why.”,,,
101,,\N[2],\N[2] is a 16-year-old girl who works,in a cafe. Though reliable\c,tends to lose her temper a fair amount.,Used to live in \N[6]’s orphanage and,continues to help out and take,care of the kids to this day.,,,,,,,
102,,\N[2],Lives and works in the cafe.,Is well-liked by the guests and has a,certain regular romantically interested.,,,,,,,,,,
103,,\N[2],Trusted by \N[6] and has her permission,to use magic. Her element is lightning.,,,,,,,,,,,
