アクター設定,マリー 通常
本文,ふぅ～ \.\.ふぅ～,
アクター設定,マリー 笑顔
本文,あったかコーヒー牛乳\.,
本文,うんまぁ,
アクター設定,マリー 通常
本文,宿直 ダルいな～,
アクター設定,マリー 通常
本文,夜の学校なんて\.,
本文,誰もいるはずないじゃん,
アクター設定,マリー 通常
本文,リコーダー盗むやつとか\.,
本文,いるかもしれないけど,
アクター設定,マリー 笑顔
本文,そんなの\.,
本文,知ったこっちゃないし,
アクター設定,マリー 通常
本文,もう一杯 飲もっ！,
アクター設定,マリー 驚き・動揺
本文,うげぇ,
アクター設定,マリー 驚き・動揺
本文,コーヒー切れてんじゃん\.,
本文,誰だよ最後に飲んだの,
アクター設定,マリー 特殊２
本文,って アタシか,
アクター設定,マリー 通常
本文,うーん \.コーヒーは…,
アクター設定,マリー 通常
本文,音楽担当のアイツ！\.,
本文,名前は忘れたけど…,
アクター設定,マリー 不信・怒り
本文,「コーヒーは音痴によく効きます\.,
本文, \N[4]さんもお困りならお薦めですよ」,
アクター設定,マリー 驚き・動揺
本文,って \.なんで音痴前提なんだよ,
アクター設定,マリー 通常
本文,まぁいいや\.,
本文,見回りついでに貰ってこよ,
