アクター設定,カイト 苦痛・ダメージ
本文,痛いっ！,
アクター設定,カイト 不信・怒り
本文,いきなり石ぶつけてくるなんて\.,
本文,ひどいじゃないか,
アクター設定,ノエル 通常
本文,こうでもしないと\.,
本文,オマエ 気づかないだろ,
アクター設定,カイト 不信・怒り
本文,普通に呼んでくれればいいのに,
アクター設定,ノエル 通常
本文,いちいち細かいな\.,
本文,こっちにはこっちの事情があるんだよ,
アクター設定,カイト 通常
本文,で…\. 何か用？,
アクター設定,ノエル 通常
本文,買い物中か？\.,
本文,この間より財布の中身が豪華だぞ,
アクター設定,カイト 通常
本文,うん \.,
本文,孤児院の買い出し頼まれてるから,
アクター設定,カイト 驚き・動揺
本文,えっ…\.,
本文,あれ！？,
アクター設定,ノエル 通常
本文,ほれっ 返す,
アクター設定,カイト 特殊１
本文,いつの間に…？,
アクター設定,ノエル 通常
本文,ボーッとしてる\N[5]が悪い\.,
本文,ってかさ…,
アクター設定,ノエル 通常
本文,怪しいんだよな\.,
本文,あの孤児院,
アクター設定,カイト 通常
本文,怪しい…？,
アクター設定,ノエル 通常
本文,金髪のねーちゃんいるだろ？\.,
アクター設定,カイト 通常
本文,\N[6]さんのことかな？,
アクター設定,ノエル 通常
本文,昔は有名人だったらしいけど\.,
本文,お金持ちって感じには見えないな,
アクター設定,ノエル 通常
本文,金づるになりそうな\.,
本文,オトコもいなそうだし,
アクター設定,ノエル 通常
本文,どっからそんな,
本文,お金出てくるんだ？,
アクター設定,カイト 不信・怒り
本文,知らないよ\.,
本文,まだ入ったばかりだし,
アクター設定,カイト 通常
本文,ボクは\.,
本文,孤児としているわけじゃないし,
アクター設定,ノエル 通常
本文,\N[5]は孤児じゃないの？,
アクター設定,カイト 通常
本文,説明するとややこしいんだけど…,
アクター設定,ノエル 通常
本文,なるほど\.,
本文,さっぱりわからん,
アクター設定,ノエル 通常
本文,ってかさ\.,
本文,学校行ってないのかよ,
アクター設定,カイト 特殊１
本文,…,
アクター設定,ノエル 通常
本文,ハハッ\.,
本文,それじゃロクな大人になれないね,
アクター設定,カイト 悲しみ・焦り
本文,ひどい…,
アクター設定,ノエル 通常
本文,泣くなよ！\.,
本文,いじめ甲斐のないやつだな,
アクター設定,ノエル 通常
本文,でも…\.,
本文,いいこと思いついたぞ,
アクター設定,カイト 通常
本文,…？,
アクター設定,ノエル 通常
本文,孤児院の運営費が\.,
本文,どっから来ているのか探って来いよ,
アクター設定,ノエル 通常
本文,孤児ではないんだろ？,
アクター設定,カイト 特殊１
本文,やだよ…\.,
本文,そんなことして何の意味があるの？,
アクター設定,ノエル 通常
本文,何か裏で悪いこと,
本文,してるかもしれねーじゃん,
アクター設定,カイト 不信・怒り
本文,それはないよ\.,
本文,みんな優しい人だし,
アクター設定,ノエル 通常
本文,細かいことは気にするなって\.,
本文,ちょっと聞いてくるだけでいいんだよ,
アクター設定,ノエル 通常
本文,だいたいさ\.,
本文,\N[5]は他に何ができるんだよ,
アクター設定,ノエル 通常
本文,ロクな大人になれないよ,
アクター設定,カイト 不信・怒り
本文,また ひどいこと言う…,
アクター設定,カイト 不信・怒り
本文,ボクにだってできることぐらいあるよ,
アクター設定,ノエル 通常
本文,例えば？,
アクター設定,カイト 通常
本文,…,
アクター設定,カイト 通常
本文,ピアノの調律…とか,
アクター設定,ノエル 通常
本文,…ッハハ,
アクター設定,カイト 不信・怒り
本文,笑わなくても！,
アクター設定,ノエル 通常
本文,いや 悪い悪い\.,
本文,いかにも育ちのいいヤツって感じで,
アクター設定,ノエル 通常
本文,悪気はなかったんだけど\.,
本文,よりによって ピアノの調律って…,
アクター設定,ノエル 通常
本文,なんだかすげえな\.,
本文,ハハッ,
アクター設定,カイト 悲しみ・焦り
本文,ひどいや…,
アクター設定,ノエル 通常
本文,いや 謝ってるじゃん\.,
本文,…ハハッ,
アクター設定,カイト 不信・怒り
本文,もういいよ…\.,
本文,別に笑っても,
アクター設定,カイト 通常
本文,…あっ！,
アクター設定,カイト 通常
本文,でもさ\.,
本文,\N[14]歌うの好きだよね？,
アクター設定,ノエル 通常
本文,はっ？,
アクター設定,カイト 通常
本文,この間\. 川辺で歌ってたでしょ,
アクター設定,カイト 通常
本文,あれはなんていう曲？,
アクター設定,ノエル 通常
本文,曲名は…？\. 知らないよ\.,
本文,誰かに教えてもらったヤツだから,
アクター設定,カイト 通常
本文,誰に教えてもらったの？,
アクター設定,ノエル 通常
本文,そんなの\.,
本文,誰だって良いじゃないか,
アクター設定,ノエル 通常
本文,何で急に熱くなってんだよ\.,
本文,気持ち悪いな…,
アクター設定,カイト 笑顔
本文,とってもいい歌だったから\.,
本文,知りたいし もう一度聞きたいなって,
アクター設定,ノエル 通常
本文,歌わないよ\.,
本文,はずかしいし…,
アクター設定,カイト 笑顔
本文,じゃあボクが孤児院のこと聞いてきたら\.,
本文,歌ってくれる？,
アクター設定,ノエル 通常
本文,なんだと…,
アクター設定,ノエル 通常
本文,それで良しとしようじゃないか！,
アクター設定,カイト 笑顔
本文,なら 決まりだね！,
アクター設定,ノエル 通常
本文,あ\. あぁ…,
