アクター設定,ニナ 通常
本文,それじゃあ\.,
本文,仕事に戻るね,
アクター設定,ソラ 通常
本文,マスターによろしく,
アクター設定,ソラ 通常
本文,\N[5]は\.,
本文,気をつけて行ってくるんだよ,
アクター設定,カイト 通常
本文,はい,
アクター設定,ソラ 通常
本文,最近 物騒だから\.,
本文,寄り道するんじゃないよ,
アクター設定,ソラ 通常
本文,うわさじゃ\.,
本文,盗賊が街に潜んでるとか…,
アクター設定,ソラ 通常
本文,まぁ \.キミたち二人は\.,
本文,大丈夫だと思うけど,
アクター設定,ニナ 通常
本文,\N[6]さん心配しすぎです,
アクター設定,ニナ 通常
本文,まっすぐ帰りますから\.,
本文,安心してください,
アクター設定,ニナ 笑顔
本文,ね？\.,
本文,\N[5]も,
アクター設定,カイト 笑顔
本文,はい\.,
本文,ボクの用事はすぐ終わると思うので,
アクター設定,ソラ 通常
本文,うん それじゃ\.,
本文,いってらっしゃい,
アクター設定,ニナ 通常
本文,ねぇ \N[5]\|\|\^,
アクター設定,カイト 通常
本文,（孤児院のこと,
本文,　結局聞けなかったな…）\|\|\^,
アクター設定,ニナ 不信・怒り
本文,ねぇ \N[5]ってば\.,
本文,聞いてる？,
アクター設定,カイト 特殊１
本文,えっ！？\.,
本文,どうしたの？ \N[2],
アクター設定,ニナ 不信・怒り
本文,んもぅ…\.,
本文,聞いてなかったでしょ,
アクター設定,カイト 通常
本文,あ… ごめん\.,
本文,考え事してた,
アクター設定,ニナ 不信・怒り
本文,ふーん…,
アクター設定,ニナ 通常
本文,まぁ いいや,
アクター設定,ニナ 通常
本文,わたし 仕事まで時間あるから\.,
本文,一緒に市場まで遊びに行かない？,
アクター設定,カイト 驚き・動揺
本文,えっ！？\.,
本文,寄り道するなって\N[6]さんが…,
アクター設定,ニナ 笑顔
本文,市場には人がたくさんいるし…,
アクター設定,ニナ 笑顔
本文,奥まで入らなきゃ\.,
本文,問題ないと思うよ,
アクター設定,ニナ 通常
本文,路地裏とか…,
アクター設定,カイト 驚き・動揺
本文,路地裏！？,
アクター設定,ニナ 通常
本文,…？,
アクター設定,カイト 笑顔
本文,ううん\.,
本文,なんでもないよ,
アクター設定,カイト 通常
本文,はぐれなきゃ大丈夫だと思う,
アクター設定,ニナ 笑顔
本文,やった♪,
アクター設定,ニナ 通常
本文,じゃあ 市場まで行ってみよ！,
アクター設定,カイト 通常
本文,（ちょっとだけ\.,
本文,　\N[2]と一緒に行動しよう）,
