アクター設定,ノエル 通常
本文,ん どうした？,
アクター設定,カイト 通常
本文,\N[14]はどうして\.,
本文,市場で盗みをしているの？,
アクター設定,ノエル 通常
本文,いきなりなんだよ！,
アクター設定,ノエル 通常
本文,いや…\.,
本文,そうだな…,
アクター設定,ノエル 通常
本文,親がいないんだよ\|\^,
アクター設定,ノエル 通常
本文,戦争のせいで…\.,
本文,全部 なくなっちまった\|\^,
アクター設定,ノエル 通常
本文,だから \.住むところも食べるものも\.,
本文,自分でなんとかしなきゃいけないんだ\|\^,
アクター設定,ノエル 通常
本文,もちろん\.,
本文,あたし一人じゃねえぜ\|\^,
アクター設定,ノエル 通常
本文,あたしと同じ境遇のヤツらがいるから\.,
本文,みんなで稼ぎを持ち寄って\|\^,
アクター設定,ノエル 通常
本文,その日をしのいでるってわけよ\|\^,
アクター設定,ノエル 通常
本文,これが理由だよ,
アクター設定,ノエル 通常
本文,つまんない話だろ？,
アクター設定,カイト 通常
本文,ううん…,
アクター設定,ノエル 通常
本文,いちおう こっちは\.,
本文,思ってること話したからな,
