アクター設定,ソラ 通常
本文,それじゃ \N[5]\.,
本文,買い出し頼んだ,
アクター設定,カイト 通常
本文,また同じメニューで大丈夫ですか？,
アクター設定,ソラ 通常
本文,んー…,
アクター設定,ソラ 笑顔
本文,たまにはだね\.,
本文,一つぐらい,
アクター設定,ソラ 笑顔
本文,\N[5]の好きなもの\.,
本文,買っても良いんじゃない？,
アクター設定,カイト 通常
本文,\N[6]さん\.,
本文,けっこうアバウトですよね,
アクター設定,ソラ 通常
本文,んー？\.,
本文,アタシへのプレゼントでもいいんだよ,
アクター設定,カイト 驚き・動揺
本文,え…と……？,
アクター設定,ソラ 通常
本文,フフ…\. 冗談だって\.,
本文,真に受けるんじゃない,
アクター設定,カイト 通常
本文,あ\. ごめんなさい,
アクター設定,ソラ 不信・怒り
本文,…,
アクター設定,ソラ 笑顔
本文,まぁ\.,
本文,適当にやっといてよ,
アクター設定,カイト 通常
本文,はぁ…,
アクター設定,ソラ 通常
本文,それと \.,
本文,\N[2]にも頼んでるんだけどさ,
アクター設定,ソラ 通常
本文,これからアタシは\.,
本文,外に用事があるから,
アクター設定,ソラ 笑顔
本文,早めに戻って\.,
本文,留守番頼める？,
アクター設定,ソラ 通常
本文,問題ないとは思うけど\.,
本文,最近\. 物騒だったじゃない,
アクター設定,カイト 通常
本文,はい\. わかりました,
