アクター設定,カイト 通常
本文,\N[2]へのプレゼント\.,
本文,\N[14]に相談できたら良かったんだけど,
アクター設定,カイト 通常
本文,今日はいないみたいだ,
アクター設定,カイト 通常
本文,妙に静かだな…,
アクター設定,カイト 不信・怒り
本文,（何だろう…\.,
本文,　誰かに見られてる感じがする）,
アクター設定,カイト 通常
本文,（\N[14]…？）,
アクター設定,カイト 通常
本文,誰もいない…,
アクター設定,マリー 通常
本文,すきありー！,
アクター設定,カイト 特殊１
本文,わあっ！,
アクター設定,マリー 笑顔
本文,アッハハ,
本文,驚いたー？,
アクター設定,カイト 驚き・動揺
本文,\N[4]先生！,
アクター設定,カイト 特殊１
本文,脅かさないでくださいよ…,
アクター設定,マリー 笑顔
本文,すっごい驚いてたね！\.,
本文,今の\N[5]くん\. すっごく面白かった,
アクター設定,カイト 不信・怒り
本文,笑い事じゃないですよ,
アクター設定,マリー 通常
本文,ごめんごめん,
アクター設定,マリー 通常
本文,ここで何してんの？,
アクター設定,マリー 通常
本文,盗賊が出るとか噂あるのに\.,
本文,不用心が過ぎるぞ,
アクター設定,カイト 通常
本文,い いや…\.,
本文,特に用事ってわけじゃ,
アクター設定,カイト 通常
本文,\N[4]先生は？,
アクター設定,マリー 通常
本文,ん～\.,
本文,\N[5]くんを見かけたからさ,
アクター設定,マリー 特殊１
本文,後をつけていたのだよ,
アクター設定,マリー 笑顔
本文,アタシは保護者！\.,
本文,みたいなもんだからね,
アクター設定,カイト 不信・怒り
本文,でしたら\.,
本文,声かけてくれれば良かったのに,
アクター設定,マリー 通常
本文,まぁまぁ\.,
本文,細かいことは気にしない,
アクター設定,マリー 通常
本文,お買い物中？\.,
本文,\N[6]のところ行くんだけど,
アクター設定,カイト 通常
本文,特に用事はありませんから\.,
本文,よければご一緒しますよ,
アクター設定,マリー 笑顔
本文,\N[5]くん 少～しだけ\.,
本文,明るくなったね,
アクター設定,カイト 通常
本文,そうかな…？,
アクター設定,マリー 通常
本文,もしや 好きな人でもできた？,
アクター設定,カイト 驚き・動揺
本文,いえ…\.,
本文,友達なら 前よりかは,
アクター設定,マリー 通常
本文,おぉ いいね～いいね～,
アクター設定,マリー 特殊１
本文,久しぶりだし\.,
本文,いろいろ聞いちゃうぞ！,
アクター設定,カイト 通常
本文,はぁ…\.,
本文,お手柔らかに,
