アクター設定,カイト 不信・怒り
本文,\N[14]\.,
本文,どこに行っちゃったんだろう,
アクター設定,マリー 通常
本文,ん…？\.,
本文,\N[2]くん どうかした？,
アクター設定,ニナ 驚き・動揺
本文,ううん…\.,
本文,なんでもないよ,
アクター設定,ニナ 通常
本文,わたし\.,
本文,向こうの方を見てくるね,
アクター設定,カイト 驚き・動揺
本文,\N[2]\.,
本文,一人で行ったら…,
アクター設定,カイト 驚き・動揺
本文,行っちゃった…,
アクター設定,マリー 不信・怒り
本文,なーんか\.,
本文,おかしな感じだったね,
アクター設定,マリー 通常
本文,お…,
アクター設定,マリー 笑顔
本文,\N[5]くんは\N[2]くんのこと,
本文,追いかけないんだね,
アクター設定,カイト 不信・怒り
本文,それって,
本文,どういう意味ですか？,
アクター設定,マリー 笑顔
本文,ふっふっふ,
本文,べっつに～,
アクター設定,マリー 笑顔
本文,でも ちょっと,
本文,ムキになるところ,
アクター設定,マリー 笑顔
本文,いいねぇ いいねぇ♪,
アクター設定,マリー 特殊１
本文,\N[5]くんは可愛いなぁ！,
アクター設定,カイト 不信・怒り
本文,こんな時に…\.,
本文,ふざけないでくださいよ,
アクター設定,マリー 通常
本文,ごめんごめん,
アクター設定,マリー 通常
本文,\N[2]くんなら,
本文,一人でも大丈夫じゃん？,
アクター設定,マリー 笑顔
本文,引き続き\.,
本文,\N[14]くんを探そう！,
アクター設定,カイト 不信・怒り
本文,…,
アクター設定,カイト 不信・怒り
本文,\N[4]先生って\.,
本文,結構いじわるですよね,
アクター設定,マリー 通常
本文,ふっふっふ,
アクター設定,ノエル 通常
本文,\N[5]！\.,
本文,そっちに行ったぞ！,
アクター設定,カイト 驚き・動揺
本文,\N[14]！？,
アクター設定,マリー 驚き・動揺
本文,今のって…,
アクター設定,ノエル 通常
本文,あいつ 街に逃げ込む気だ！\.,
本文,早く追いかけねえと！,
アクター設定,カイト 驚き・動揺
本文,うん！,
