アクター設定,ニナ 驚き・動揺
本文,はぁ…\.\.,
本文,気になって来てみたけれど,
アクター設定,ニナ 特殊１
本文,心細くて\.,
本文,一人じゃ入れないよ,
アクター設定,ニナ 特殊１
本文,マモノいっぱいいたし,
アクター設定,ニナ 特殊１
本文,中で見つけたアレも気になるし…,
アクター設定,ニナ 驚き・動揺
本文,あの子のことも…,
アクター設定,ニナ 特殊１
本文,あぁ…\.,
本文,どうしたらいいの？,
アクター設定,アーシア 通常
本文,おおっと！,
アクター設定,ニナ 驚き・動揺
本文,あなたは…！,
アクター設定,アーシア 笑顔
本文,いや～\. どもども,
本文,こんなところで会うなんて…,
アクター設定,ニナ 不信・怒り
本文,…！,
アクター設定,ニナ 不信・怒り
本文,あなた…！,
アクター設定,アーシア 驚き・動揺
本文,んあ…！？\|\^,
アクター設定,ニナ 不信・怒り
本文,この間…,
アクター設定,アーシア 悲しみ・焦り
本文,ちょ…\|\^,
アクター設定,ニナ 不信・怒り
本文,一人で勝手に\.,
本文,帰りましたよね？,
アクター設定,アーシア 悲しみ・焦り
本文,い…,
アクター設定,アーシア 驚き・動揺
本文,いったん落ち着こう！,
本文,見切れてしまう！,
アクター設定,アーシア 通常
本文,仕切り直し\.,
本文,と いうことで,
アクター設定,アーシア 通常
本文,そういや\. お互いに,
本文,まだ名乗ってなかったっすね,
アクター設定,ニナ 特殊１
本文,別に興味ないです,
アクター設定,アーシア 悲しみ・焦り
本文,この姉ちゃん\.,
本文,やっぱり怖い…,
アクター設定,アーシア 通常
本文,ところでさ…,
アクター設定,アーシア 笑顔
本文,こんなところで\.,
本文,なにしてるの？,
アクター設定,ニナ 不信・怒り
本文,あなたには関係ありません,
アクター設定,アーシア 笑顔
本文,んー…\.,
本文,でも 入りたいんでしょ？,
アクター設定,ニナ 驚き・動揺
本文,えぇ！？\.,
本文,ま まぁ…,
アクター設定,アーシア 勝利・喜び
本文,おぉ…いける\.,
本文,ラッキー案件ゲット,
アクター設定,アーシア 驚き・動揺
本文,ここで何してるんです？,
アクター設定,アーシア 通常
本文,もう孤児院の子たちは,
本文,助かったんでしょ？,
アクター設定,ニナ 驚き・動揺
本文,ま まぁ…\.,
本文,その件は,
アクター設定,アーシア 通常
本文,もしかして…,
アクター設定,アーシア 笑顔
本文,アレは何だったんだろう…\.,
本文,気になるなぁ,
アクター設定,アーシア 不信・怒り
本文,でも あの時は\.,
本文,それどころじゃなかったし…,
アクター設定,アーシア 驚き・動揺
本文,かといって\.,
本文,そのままにしておくのも気持ち悪い,
アクター設定,アーシア 苦痛・ダメージ
本文,気になって来てみたはいいけど\.,
本文,一人じゃ 心細くて入りづらい…,
アクター設定,アーシア 通常
本文,なんて状況だったりして？,
アクター設定,ニナ 特殊１
本文,…,
アクター設定,ニナ 驚き・動揺
本文,だとしたら…？,
アクター設定,アーシア 笑顔
本文,にっしし\.,
本文,とってもいい話があるんですよ,
アクター設定,アーシア 笑顔
本文,悪いようにはしませんから\.,
本文,すこ～し 話だけでも聞いてみません？,
アクター設定,ニナ 驚き・動揺
本文,はぁ…,
アクター設定,ニナ 通常
本文,（案内引き受けちゃったけど\.,
本文,　この人…大丈夫かな）,
