アクター設定,ソラ 不信・怒り
本文,悪いね\.,
本文,追い出すみたいになっちゃって,
アクター設定,カイト 不信・怒り
本文,いえ…,
アクター設定,カイト 不信・怒り
本文,街中で魔法を\.,
本文,使ってしまったのは,
アクター設定,カイト 不信・怒り
本文,事実ですし…,
アクター設定,カイト 不信・怒り
本文,元々 ボクは\.,
本文,孤児院の人間ではないですから,
アクター設定,カイト 不信・怒り
本文,みんなに迷惑かけられないですし,
アクター設定,ソラ 通常
本文,ほとぼりが冷めたら\.,
本文,また いつでも遊びにおいでよ,
アクター設定,カイト 不信・怒り
本文,はい…,
アクター設定,ソラ 不信・怒り
本文,\N[5]\.,
本文,気持ちはわかるけどさ,
アクター設定,ソラ 不信・怒り
本文,いつまでもウジウジするんじゃない！,
アクター設定,カイト 驚き・動揺
本文,えっ…！？,
アクター設定,ソラ 不信・怒り
本文,\N[14]…\.さんは\.,
本文,保護されてるかもしれないし,
アクター設定,ソラ 通常
本文,\N[4]のバカは\.,
本文,あんなことでくたばるわけないし,
アクター設定,ソラ 通常
本文,二人とも\.,
本文,隠れてるだけ\. かもしれないじゃない,
アクター設定,ソラ 通常
本文,困ってる\N[5]を\.,
本文,驚かそうとしててさ,
アクター設定,カイト 不信・怒り
本文,…,
アクター設定,ソラ 驚き・動揺
本文,だから…,
アクター設定,カイト 通常
本文,ボクは…,
本文,大丈夫です,
アクター設定,ソラ 通常
本文,そっか…,
アクター設定,カイト 通常
本文,色々とありがとうございました,
アクター設定,カイト 笑顔
本文,みんなにも\.,
本文,よろしくお伝え下さい,
アクター設定,ソラ 通常
本文,あぁ！\.,
本文,ちゃんと伝えとくよ,
アクター設定,カイト 通常
本文,それでは…\.,
本文,お世話になりました,
アクター設定,ソラ 通常
本文,\N[5],
アクター設定,ソラ 不信・怒り
本文,くれぐれも\.,
本文,変な気を起こすんじゃないよ,
アクター設定,ソラ 不信・怒り
本文,自分で責任負おうとするんじゃないよ,
アクター設定,ソラ 不信・怒り
本文,\N[5]は\.,
本文,まだ子供だし\.,
アクター設定,ソラ 不信・怒り
本文,何も悪くないんだから,
アクター設定,ソラ 不信・怒り
本文,（\N[4]は\.,
本文,　一体 何をしたんだ…？）,
アクター設定,
本文,ボクは街中で魔法を使った,
アクター設定,
本文,例の魔法使いがマモノになってしまう\.,
本文,という噂のせいで…,
アクター設定,
本文,もう孤児院には,
本文,迷惑かけられない,
アクター設定,
本文,街の人たちは…,
アクター設定,
本文,なぜか誘拐事件は\.,
本文,解決したと思っている,
アクター設定,
本文,でも\. あの場に居合わせた人たちは,
本文,ボクが魔法を使ったことを覚えてない,
アクター設定,
本文,そんなはずはない,
本文,だって…,
アクター設定,
本文,ボクは…,
アクター設定,カイト 不信・怒り
本文,\N[14]…\.,
本文,\N[4]先生…,
アクター設定,カイト 不信・怒り
本文,これから どうしよう…,
