アクター設定,傭兵くずれ 通常
本文,魔法使いがマモノになるって噂も\.,
本文,反魔法使い連合が広めたのかもしれないな,
アクター設定,傭兵くずれ 通常
本文,まぁ 肝心の魔法使いは\.,
本文,もうほとんど見なくなっちまったけどな,
アクター設定,傭兵くずれ 通常
本文,最近 どうにも\.,
本文,キナ臭くてな…,
アクター設定,カイト 通常
本文,何かあったんですか？,
アクター設定,傭兵くずれ 通常
本文,反魔法使い連合の動きが,
本文,活発になってるらしい,
アクター設定,カイト 通常
本文,反魔法使い連合…？,
アクター設定,傭兵くずれ 通常
本文,知らないか\.,
本文,反魔法使い連合っていうのは…,
アクター設定,傭兵くずれ 通常
本文,二年前の内紛中…\.,
本文,つまり 結晶化騒動だな,
アクター設定,傭兵くずれ 通常
本文,あの時期から\.,
本文,目撃されるようになった,
アクター設定,傭兵くずれ 通常
本文,宗教組織\.,
本文,みたいなもんだな,
アクター設定,カイト 通常
本文,怖いですね…,
アクター設定,傭兵くずれ 通常
本文,あの頃は,
本文,今より治安が悪かったからな,
アクター設定,傭兵くずれ 通常
本文,黒い雪の夜が起きてからは\.,
本文,静かだったんだが,
アクター設定,傭兵くずれ 通常
本文,最近また活発になっているらしい,
アクター設定,傭兵くずれ 通常
本文,まぁ 坊主に言っても仕方ないけどな\.,
本文,用心するに越したことはないぜ,
