アクター設定,アーシア 笑顔
本文,まぁ そう暗い顔しないで\.,
本文,ぱーっとお茶しにいこうよ,
アクター設定,アーシア 通常
本文,おいっす \N[5]少年,
アクター設定,カイト 通常
本文,\N[1]さん\.,
本文,\N[14]のこと 何かわかりましたか？,
アクター設定,アーシア 不信・怒り
本文,んー…\.,
本文,それがあんまりなんですよねぇ,
アクター設定,アーシア 通常
本文,やっぱしですね,
アクター設定,アーシア 通常
本文,あの時 現場にいた人に\.,
本文,聞いたほうが良いのではないかと,
アクター設定,アーシア 笑顔
本文,でも それができたら\.,
本文,困らないですよね,
アクター設定,カイト 通常
本文,そうですか…,
アクター設定,アーシア 笑顔
本文,まぁ そう暗い顔しないで\.,
本文,ぱーっとお茶しにいこうよ,
アクター設定,アーシア 笑顔
本文,\N[4]さん以外にも\.,
本文,あの時 アリバイ不明な人もいるわけですし,
アクター設定,カイト 通常
本文,\N[2]のこと？,
アクター設定,アーシア 勝利・喜び
本文,それはどうかな？,
