アクター設定,アーシア 通常
本文,ちゃちゃっと\.,
本文,脱出したいところですねぇ,
アクター設定,カイト 通常
本文,\N[1]さんは\.,
本文,あの時 何していたんですか？,
アクター設定,アーシア 笑顔
本文,んー あたしっすか？,
アクター設定,アーシア 通常
本文,…,
アクター設定,アーシア 驚き・動揺
本文,現場にはいなかったかなぁ\.,
本文,面倒なことには関わらない性分なんで,
アクター設定,アーシア 通常
本文,もしかして…\.,
本文,あたしも本当は現場にいたんだけど,
アクター設定,アーシア 通常
本文,記憶いじられてて\.,
本文,覚えてなかったりして,
アクター設定,カイト 通常
本文,えっ？\.,
本文,それってどういう…,
アクター設定,アーシア 笑顔
本文,いやいや 冗談ですって,
アクター設定,アーシア 通常
本文,こんなときに,
本文,あれなんですけど,
アクター設定,アーシア 通常
本文,\N[14]さんがいなくなった時のこと\.,
本文,どれぐらい覚えてます？,
アクター設定,カイト 驚き・動揺
本文,あの時のことですか？\.,
本文,えっと…,
アクター設定,カイト 不信・怒り
本文,ボクと\N[14]と\N[4]先生で,
アクター設定,カイト 不信・怒り
本文,孤児院の子供たちを誘拐した\.,
本文,盗賊を追い詰めた,
アクター設定,アーシア 通常
本文,たしか 街の中に逃げたんですよね,
アクター設定,カイト 通常
本文,はい\.,
本文,そこで ボクが魔法を使ってしまって,
アクター設定,アーシア 不信・怒り
本文,そりゃ めーですよね,
アクター設定,カイト 不信・怒り
本文,\N[14]を助けなきゃって思ったから,
アクター設定,アーシア 笑顔
本文,おおぅ \N[5]少年カッコいい！,
アクター設定,カイト 不信・怒り
本文,でも…\.,
本文,そのあと どうなったかは,
アクター設定,アーシア 通常
本文,誰も覚えてないと,
アクター設定,カイト 不信・怒り
本文,はい…,
アクター設定,アーシア 通常
本文,聞き込みしましたけど\.,
本文,やっぱし おかしいんですよね,
アクター設定,アーシア 通常
本文,皆さん揃って\.,
本文,記憶があいまいで,
アクター設定,アーシア 通常
本文,孤児院のみんなで\.,
本文,盗賊を取り押さえたっていう人もいるし,
アクター設定,アーシア 通常
本文,誘拐事件なんてあったの？\.,
本文,なんて人もいましたし,
アクター設定,アーシア 通常
本文,全然覚えてないって言う人もいて\.,
本文,辻褄が合わないんですよ,
アクター設定,カイト 不信・怒り
本文,\N[14]のことについては,
アクター設定,アーシア 通常
本文,そっちはサッパリですね\.,
本文,何にも手がかりないっす,
アクター設定,カイト 不信・怒り
本文,…,
