アクター設定,レミィ 通常
本文,…貴方,
アクター設定,カイト 通常
本文,はい,
アクター設定,レミィ 通常
本文,この辺りに,
本文,何か異常を感じないかしら？,
アクター設定,カイト 驚き・動揺
本文,いえ…,
本文,特に変わりないですけど,
アクター設定,レミィ 通常
本文,そう…,
アクター設定,レミィ 通常
本文,…貴方,
アクター設定,レミィ 通常
本文,訓練なしに\.,
本文,魔法を使えるようになった\.と聞いたわ,
アクター設定,カイト 通常
本文,\N[4]先生も,
本文,驚かれてましたが,
アクター設定,カイト 通常
本文,それって\.,
本文,すごいことなんでしょうか？,
アクター設定,レミィ 通常
本文,…,
アクター設定,レミィ 通常
本文,戻りましょう,
アクター設定,カイト 驚き・動揺
本文,え…？\.,
本文,もう いいんですか？,
アクター設定,カイト 驚き・動揺
本文,まだ奥まで行ってないですけど,
アクター設定,レミィ 通常
本文,貴方は自覚してないようだけど,
アクター設定,レミィ 通常
本文,私に比べて,
本文,はるかに魔法の才能があるわ,
アクター設定,レミィ 通常
本文,その貴方が,
本文,何も感知しないのであれば,
アクター設定,レミィ 通常
本文,もう\.,
本文,ここに来る必要はないでしょう,
アクター設定,カイト 驚き・動揺
本文,は はぁ…,
