アクター設定,リン 通常
本文,けん\.\^,
アクター設定,リン 通常
本文,けん\.\^,
アクター設定,リン 通常
本文,ぱっ\.\^,
アクター設定,リン 通常
本文,あー！\.,
本文,魔法使いのお姉ちゃんだ！,
アクター設定,リン 通常
本文,こんにちわ,
アクター設定,レミィ 通常
本文,えぇ\.,
本文,こんにちわ,
アクター設定,リン 通常
本文,あれ？\.,
本文,\N[5]も一緒なの！？,
アクター設定,カイト 笑顔
本文,\N[11],
本文,久しぶり\.\^,
アクター設定,リン 通常
本文,もーう！,
本文,\N[5],
アクター設定,リン 通常
本文,いきなり,
本文,いなくなっちゃうんだもん,
アクター設定,カイト 不信・怒り
本文,ごめん \N[11]\.,
本文,何も言わずに出てっちゃって,
アクター設定,ソラ 通常
本文,ん…,
本文,どうした？,
アクター設定,ソラ 通常
本文,ずいぶんにぎやかじゃない\.,
本文,…って！,
アクター設定,レミィ 通常
本文,お久しぶりです,
アクター設定,レミィ 通常
本文,\N[6]先輩,
アクター設定,ソラ 特殊１
本文,げぇぇ \N[3]！,
アクター設定,ソラ 驚き・動揺
本文,…って！,
本文,\N[5]まで！？,
アクター設定,カイト 不信・怒り
本文,ご無沙汰してます,
アクター設定,ソラ 不信・怒り
本文,何で\N[3]と一緒にいるんだ,
アクター設定,ソラ 不信・怒り
本文,魔法使いには気をつけろって,
本文,言ったじゃない！,
アクター設定,カイト 驚き・動揺
本文,え…っと,
アクター設定,レミィ 通常
本文,この子は,
本文,一時的に預かっているだけよ,
アクター設定,ソラ 驚き・動揺
本文,預る？,
本文,どうして\N[3]が,
アクター設定,レミィ 驚き・動揺
本文,それは…,
アクター設定,ソラ 不信・怒り
本文,ちょっと待った,
アクター設定,ソラ 不信・怒り
本文,一旦,
本文,中に入ろう,
アクター設定,レミィ 通常
本文,えぇ\.,
