アクター設定,お花大好き女の子 通常
本文,あ！\.,
本文,この間のお姉ちゃんだ,
アクター設定,お花大好き女の子 通常
本文,おーい！,
アクター設定,お花大好き女の子 通常
本文,いたっ…！,
アクター設定,反魔法活動家A 通常
本文,…！,
アクター設定,お花大好き女の子 通常
本文,いたーい…,
アクター設定,おかあさん 通常
本文,うちの子が…！\.,
本文,ごめんなさい！,
アクター設定,反魔法活動家A 通常
本文,なんだ,
本文,子供か…,
アクター設定,反魔法活動家A 通常
本文,…ちょっと待て,
アクター設定,反魔法活動家A 通常
本文,もしかして…\.,
本文,この館の魔法使いの関係者か？,
アクター設定,おかあさん 通常
本文,いえ…\.,
本文,わたしたちは関係ない…\^,
アクター設定,お花大好き女の子 通常
本文,えー\.,
本文,どうしてお母さん？,
アクター設定,お花大好き女の子 通常
本文,こないだ ここに住んでるお姉ちゃんに\.,
本文,風船取ってもらったよ,
アクター設定,反魔法活動家A 通常
本文,っということは,
本文,知り合いか…！？,
アクター設定,お花大好き女の子 通常
本文,おーい お姉ちゃん！,
アクター設定,カイト 驚き・動揺
本文,\N[3]さん あれ！,
アクター設定,レミィ 不信・怒り
本文,貴方は…\.,
本文,遠くに離れていなさい,
アクター設定,カイト 驚き・動揺
本文,えっ！？\.,
本文,助けに行くならボクも,
アクター設定,レミィ 通常
本文,…,
アクター設定,レミィ 通常
本文,慌てずに…\.,
本文,状況を判断するのが先,
アクター設定,レミィ 通常
本文,それに貴方は\.,
本文,まだ…,
アクター設定,レミィ 通常
本文,「魔法使い」ではないもの,
アクター設定,カイト 驚き・動揺
本文,ちょっと！？,
アクター設定,カイト 特殊１
本文,（追いかけなきゃ…）,
アクター設定,カイト 特殊１
本文,（そうしないと\.,
本文,　また\N[14]の時みたいに…）,
アクター設定,カイト 驚き・動揺
本文,（\N[14]…？）,
アクター設定,カイト 不信・怒り
本文,（あの時\N[14]は…\.,
本文,　ボクの目の前で…）,
アクター設定,カイト 驚き・動揺
本文,追いかけないと！？,
アクター設定,マリー 通常
本文,待ちたまえ！\.,
本文,\N[5]くん！,
アクター設定,カイト 驚き・動揺
本文,えっ！？,
アクター設定,カイト 特殊１
本文,うわぁ！,
