アクター設定,カイト 驚き・動揺
本文,\N[4]先生！？\.,
アクター設定,マリー 通常
本文,しーっ\.,
本文,静かに,
アクター設定,マリー 通常
本文,せっかく\.,
本文,隠れてるんだから,
アクター設定,カイト 驚き・動揺
本文,\N[3]さんが…,
アクター設定,マリー 通常
本文,あーあー\.,
本文,見事に捕まっちゃってるね,
アクター設定,マリー 通常
本文,子供を盾にとられちゃって\.,
本文,サイテー…,
アクター設定,カイト 驚き・動揺
本文,どうして助けないんですか！？,
アクター設定,マリー 不信・怒り
本文,あのねぇ…\.,
本文,\N[5]くん,
アクター設定,マリー 不信・怒り
本文,キミはバッドな,
本文,ミステイクをしているのだよ,
アクター設定,カイト 特殊１
本文,はい？,
アクター設定,マリー 不信・怒り
本文,キミは自分の力について\.,
本文,何も理解してないし,
アクター設定,マリー 不信・怒り
本文,ガキなんだから\.,
本文,気持ちだけで先走らないの,
アクター設定,カイト 特殊１
本文,ガキって…,
アクター設定,マリー 笑顔
本文,あー ごめんごめん\.,
アクター設定,マリー 通常
本文,あの女の言うことに,
本文,賛同したくないんだけど,
アクター設定,マリー 通常
本文,冷静に考えて,
アクター設定,マリー 通常
本文,アタシたちだけで\.,
本文,あの集団に勝てると思う？,
アクター設定,マリー 通常
本文,街中で\.,
本文,魔法を使わずに,
アクター設定,カイト 不信・怒り
本文,それは…,
アクター設定,マリー 驚き・動揺
本文,ダメじゃん\.,
本文,人が邪魔で何も見えねえ…,
アクター設定,カイト 不信・怒り
本文,ボク…,
本文,また助けられなかった,
アクター設定,マリー 通常
本文,んー？\.,
本文,なんで 過去形なの,
アクター設定,マリー 通常
本文,まだ何もしてないじゃん,
アクター設定,カイト 驚き・動揺
本文,えっ？,
アクター設定,マリー 不信・怒り
本文,さすがに アタシにとっても,
本文,この状況は困るんだよね,
アクター設定,マリー 通常
本文,\N[5]くんは どうする？,
アクター設定,マリー 通常
本文,助けに行く？,
アクター設定,カイト 不信・怒り
本文,もちろん,
本文,行きます！,
アクター設定,マリー 笑顔
本文,おぉ さっすが\N[5]くん,
本文,いい返事だね,
アクター設定,カイト 不信・怒り
本文,でも どうするんですか？,
アクター設定,マリー 笑顔
本文,まぁ アタシに任せなさい,
アクター設定,マリー 笑顔
本文,いい機会だし,
アクター設定,マリー 笑顔
本文,魔法についても色々\.,
本文,教えてしんぜよう,
アクター設定,マリー 通常
本文,ってことで尾行するよ！,
アクター設定,カイト 驚き・動揺
本文,び\. びこう！？,
