アクター設定,カイト 通常
本文,\N[3]さんが,
本文,魔法が苦手…？,
アクター設定,ものぐさ魔法使い 通常
本文,正確には,
本文,攻撃が苦手なんスよ,
アクター設定,ものぐさ魔法使い 通常
本文,だから必ず攻撃魔法が得意な人と\.,
本文,コンビを組むんスよ,
アクター設定,カイト 通常
本文,あぁ…\.,
本文,そういうことだったんですね,
アクター設定,カイト 通常
本文,そんな\.,
本文,たいしたことしてないですよ,
アクター設定,ものぐさ魔法使い 通常
本文,ノーノー,
アクター設定,ものぐさ魔法使い 通常
本文,\N[3]さんは\.,
本文,コンビじゃないと外に出ないんスよ,
アクター設定,カイト 通常
本文,そうなんですか？,
アクター設定,ものぐさ魔法使い 通常
本文,ここだけの話…,
アクター設定,ものぐさ魔法使い 通常
本文,\N[3]さん\.,
本文,魔法が苦手なんスよ,
アクター設定,ものぐさ魔法使い 通常
本文,あ！\.,
本文,君くん,
アクター設定,カイト 通常
本文,ボクのこと？,
アクター設定,ものぐさ魔法使い 通常
本文,っスよ,
アクター設定,ものぐさ魔法使い 通常
本文,\N[3]さんと,
本文,コンビ組んだんだってね,
アクター設定,ものぐさ魔法使い 通常
本文,すごいっス,
