アクター設定,
本文,そこのけそこのけ私が通る！\|\^,
アクター設定,マリー 笑顔
本文,急げ急げー！,
アクター設定,マリー 笑顔
本文,日食まで時間ないぞ～！,
アクター設定,ニナ 驚き・動揺
本文,\N[4]さん…！\.,
本文,置いてかないでください,
アクター設定,ニナ 驚き・動揺
本文,\N[3]さんと\.,
本文,はぐれちゃいますよ,
アクター設定,マリー 笑顔
本文,別にそうなったら\.,
本文,仕方なくなくなーい？,
アクター設定,マリー 笑顔
本文,トロいのが悪いんだし,
アクター設定,ニナ 不信・怒り
本文,仕方なく\.なく\.なく\.なく\.ないです！,
アクター設定,ニナ 不信・怒り
本文,\N[3]さんのこと\.,
本文,嫌いなんですか？,
アクター設定,マリー 通常
本文,別に…\.,
本文,嫌いじゃないけど？,
アクター設定,ニナ 驚き・動揺
本文,そ \.そうですか…,
アクター設定,ニナ 通常
本文,\N[3]さん！\.,
本文,もっとペースあげられませんか？,
アクター設定,レミィ 通常
本文,…？,
アクター設定,レミィ 通常
本文,急がなくても\.,
本文,間に合うのでは？,
アクター設定,ニナ 驚き・動揺
本文,それは…\.,
本文,そうですけど！,
アクター設定,レミィ 通常
本文,…？,
アクター設定,マリー 通常
本文,おーい！\.,
本文,置いてくよ \N[2]くん,
アクター設定,ニナ 不信・怒り
本文,あぁ！\. \N[4]さんも\.,
本文,先に行かないでって言ってるのに！,
