アクター設定,お姉さん魔法使い 通常
本文,でもねえ\.,
本文,戦争が終わっちゃうと,
アクター設定,お姉さん魔法使い 通常
本文,軍事力は不要だし,
アクター設定,お姉さん魔法使い 通常
本文,街には変な噂が流れているし,
アクター設定,お姉さん魔法使い 通常
本文,居場所がなくなっちゃってね,
アクター設定,お姉さん魔法使い 通常
本文,領主を継いだ\N[3]さんに\.,
本文,拾われてなかったら,
アクター設定,お姉さん魔法使い 通常
本文,今頃 どうなってたのかなあ,
アクター設定,カイト 通常
本文,（\N[3]さんって,
本文,　優しい人なんだなぁ）,
アクター設定,お姉さん魔法使い 通常
本文,いいなあ,
本文,わたしも一緒に戦いたかったな,
アクター設定,カイト 通常
本文,そうなんですか？,
アクター設定,お姉さん魔法使い 通常
本文,元々 わたしはさ,
アクター設定,お姉さん魔法使い 通常
本文,魔法使いの兵隊として,
本文,戦争に行ってたんだよ,
アクター設定,お姉さん魔法使い 通常
本文,その時から,
本文,\N[3]さんと一緒 戦友なんだよ,
アクター設定,カイト 通常
本文,それは…,
本文,知りませんでした,
アクター設定,お姉さん魔法使い 通常
本文,聞いたよ,
本文,\N[3]さんから,
アクター設定,カイト 通常
本文,えっ…？,
アクター設定,お姉さん魔法使い 通常
本文,魔法でどんどん,
本文,敵をなぎ倒してったって！,
アクター設定,カイト 通常
本文,それは…,
アクター設定,カイト 笑顔
本文,まぁ そうするしかなかったので,
