アクター設定,緊張しい魔法使い 通常
本文,こ\. 今度！\.,
本文,時間ができたらでいいんで,
アクター設定,緊張しい魔法使い 通常
本文,一緒にお仕事してくれませんか？,
アクター設定,カイト 通常
本文,え…？,
アクター設定,緊張しい魔法使い 通常
本文,い\. いえ！\.,
本文,請けもってる仕事が…,
アクター設定,緊張しい魔法使い 通常
本文,一人だと\.,
本文,心細いので,
アクター設定,カイト 笑顔
本文,もちろん 大丈夫ですよ,
アクター設定,緊張しい魔法使い 通常
本文,あ\. ありがとうございます！,
アクター設定,カイト 笑顔
本文,（もっと普通に話せれば\.,
本文,　良いんだけどなぁ）,
アクター設定,緊張しい魔法使い 通常
本文,え\. えへへ…,
アクター設定,緊張しい魔法使い 通常
本文,お\. お仕事には\.,
本文,なれましたか！？,
アクター設定,カイト 通常
本文,えぇ これからも,
本文,よろしくお願いします,
アクター設定,緊張しい魔法使い 通常
本文,え\. あ\.,
本文,はい！,
アクター設定,緊張しい魔法使い 通常
本文,よろしくお願いします！,
アクター設定,緊張しい魔法使い 通常
本文,あの…！,
アクター設定,緊張しい魔法使い 通常
本文,調子はどうですか…？,
アクター設定,緊張しい魔法使い 通常
本文,あ！\.,
本文,べ\. べつに嫌なら,
アクター設定,カイト 笑顔
本文,調子は良いですよ,
アクター設定,緊張しい魔法使い 通常
本文,そ\. そうですか,
本文,良かったです,
アクター設定,緊張しい魔法使い 通常
本文,この間…\.,
本文,落ち込んでたみたいでしたから,
