アクター設定,マリー 通常
本文,それはそうと,
アクター設定,マリー 通常
本文,今度 君たち\.,
本文,北の方に行くらしいね？,
アクター設定,カイト 通常
本文,マモノが多いらしいので,
アクター設定,マリー 不信・怒り
本文,黒い雪の夜と云えば…,
アクター設定,マリー 不信・怒り
本文,研究者としては\.,
本文,最重要の調査事項なんだよ,
アクター設定,マリー 笑顔
本文,アタシも宿直さえなければ\.,
本文,行けるんだけどなぁ,
アクター設定,マリー 通常
本文,\N[5]くん\.,
本文,今日も 調べものに精が出るねぇ,
アクター設定,マリー 笑顔
本文,何か必要な資料があったら\.,
本文,ぜひ アタシを頼ってくれたまえ,
アクター設定,カイト 通常
本文,今のところは,
本文,大丈夫です,
アクター設定,マリー 驚き・動揺
本文,んー…\.,
本文,\N[5]くん この頃そっけないなぁ,
アクター設定,カイト 笑顔
本文,そんなことないですよ,
アクター設定,カイト 笑顔
本文,卒業できたのも\.,
本文,\N[4]先生のおかげですし,
アクター設定,マリー 特殊１
本文,おおぅ\. もっと,
本文,褒めてくれたっていいんだぞ,
