アクター設定,ソラ 不信・怒り
本文,\N[5],
アクター設定,ソラ 不信・怒り
本文,つらいときは\.,
本文,ちゃんと声に出すように！,
アクター設定,ソラ 不信・怒り
本文,不味いと思ったら,
本文,自分だけでも助かるように！,
アクター設定,カイト 笑顔
本文,\N[6]さん…\.,
本文,ボクは 大丈夫ですよ,
アクター設定,ソラ 不信・怒り
本文,…,
アクター設定,ソラ 笑顔
本文,フフ…\.,
本文,\N[5]のそういうところ,
アクター設定,ソラ 驚き・動揺
本文,余計に心配しちゃうじゃない,
アクター設定,ソラ 通常
本文,\N[5]じゃない,
アクター設定,カイト 通常
本文,\N[6]さん…,
アクター設定,ソラ 不信・怒り
本文,大丈夫\.,
本文,無理してない？,
アクター設定,ソラ 不信・怒り
本文,\N[3]から無茶なこと,
本文,頼まれてない？,
アクター設定,ソラ 不信・怒り
本文,\N[4]から\.,
本文,変なこと吹き込まれてない？,
アクター設定,カイト 笑顔
本文,そこまで 気にしなくても\.,
本文,大丈夫ですよ,
アクター設定,ソラ 驚き・動揺
本文,そっか…,
アクター設定,カイト 通常
本文,みんなは？,
アクター設定,ソラ 通常
本文,ここで大人しくしているよ,
アクター設定,ソラ 通常
本文,だいぶ ショックは,
本文,癒えたみたい,
アクター設定,カイト 通常
本文,それは…　良かったです,
