アクター設定,リン 通常
本文,\N[5]お兄ちゃん\.,
本文,二日酔いって何～？,
アクター設定,カイト 通常
本文,うーん…\.,
本文,ボクにもよくわからないなぁ,
アクター設定,カイト 通常
本文,ところで…\.,
本文,\N[6]さんは？,
アクター設定,リン 通常
本文,\N[6]お姉ちゃん寝てるよ…\.,
本文,気分悪いんだって,
アクター設定,カイト 驚き・動揺
本文,えっ！\.,
本文,平気なの！？,
アクター設定,リン 通常
本文,うーん…\.,
本文,二日酔いなんだって,
アクター設定,カイト 通常
本文,あ…そうなんだ,
アクター設定,カイト 驚き・動揺
本文,\N[11]！\.,
本文,もう外に出てて大丈夫なの？,
アクター設定,リン 通常
本文,大丈夫だよ～,
アクター設定,リン 通常
本文,だって今度からは\.,
本文,\N[5]お兄ちゃんが助けてくれるんでしょ？,
アクター設定,カイト 通常
本文,え…\.と…,
アクター設定,リン 通常
本文,あれ…\.,
本文,違かったっけ？,
アクター設定,カイト 笑顔
本文,いや…違わないよ,
アクター設定,リン 通常
本文,やっぱりそうだよね！,
アクター設定,リン 通常
本文,危なくなったら\.,
本文,\N[5]お兄ちゃんや\N[3]お姉ちゃんがいるもんね！,
アクター設定,カイト 通常
本文,うん\.,
本文,任せてよ！,
