アクター設定,ハティ 通常
本文,ここを出て行ったら…\.,
本文,仕送りとかした方がいいのかな？,
アクター設定,ニナ 特殊１
本文,んー…,
アクター設定,ニナ 通常
本文,余裕ができたら…\.,
本文,で\. いいと思うよ,
アクター設定,ハティ 通常
本文,そうなのか？,
アクター設定,ニナ 通常
本文,どうしてもするなら…,
アクター設定,ニナ 特殊１
本文,\N[6]さんが\.,
本文,心配しすぎない程度？\. かなぁ…,
アクター設定,ハティ 通常
本文,あぁ…！\.,
本文,たしかに,
アクター設定,ニナ 通常
本文,\N[12]…\.,
本文,里親の話\. どうするか決めた？,
アクター設定,ハティ 通常
本文,あぁ…\.,
本文,行くことにしたよ,
アクター設定,ニナ 通常
本文,そっか…\.,
本文,偉いね,
アクター設定,ハティ 通常
本文,よせって…,
アクター設定,ニナ 通常
本文,\N[12]は…\.,
本文,良い子にしてたかなー？,
アクター設定,ニナ 笑顔
本文,こちょこちょこちょこちょ～,
アクター設定,ハティ 不信・怒り
本文,おっと！\.,
本文,その手には引っかからないぜ！,
アクター設定,ニナ 不信・怒り
本文,むぅ…,
アクター設定,ニナ 通常
本文,\N[12]…\.,
本文,背も伸びて 大人っぽくなったね,
アクター設定,ハティ 通常
本文,そ\. そうか！？\.,
本文,そうなのか…？,
アクター設定,ニナ 通常
本文,わたしには,
本文,そう見えるよ,
アクター設定,ハティ 通常
本文,そっか…\.,
本文,えへへ…,
