アクター設定,傭兵くずれ 通常
本文,気のせいかもしれないが…,
アクター設定,傭兵くずれ 通常
本文,マモノの出現頻度が,
本文,以前より減ったような気がするよ,
アクター設定,アーシア 通常
本文,（\N[3]さん\.,
本文,　意外と街に貢献してるんだなぁ）,
アクター設定,アーシア 勝利・喜び
本文,こんちゃーす！,
アクター設定,傭兵くずれ 通常
本文,あんたか\.,
本文,今日も元気そうだな,
アクター設定,アーシア 通常
本文,そう見えてます？,
アクター設定,アーシア 笑顔
本文,なら 良かったです,
アクター設定,傭兵くずれ 通常
本文,…？,
アクター設定,アーシア 通常
本文,最近の人通りは,
本文,どんな感じです？,
アクター設定,傭兵くずれ 通常
本文,いつもと変わらんよ\.,
本文,たまに行商人が入ってくるぐらいだ,
アクター設定,アーシア 通常
本文,そうですか,
アクター設定,アーシア 笑顔
本文,若い美人のねーちゃんとか見てないっすか？,
アクター設定,傭兵くずれ 通常
本文,そんな上玉\.,
本文,いたら すぐ伝えるってばよ,
アクター設定,アーシア 笑顔
本文,んふふ そうっすよね\.,
本文,失敬 失敬,
