アクター設定,アーシア 不信・怒り
本文,ダーメだー！,
アクター設定,アーシア 不信・怒り
本文,視力がないんで\.,
本文,調子でないっす…,
アクター設定,アーシア 不信・怒り
本文,魔力も全然\.,
本文,回復しないし…,
アクター設定,市場の人 通常
本文,おい 危ないぞ！\.,
本文,避けろ！,
アクター設定,アーシア 通常
本文,どうにかして\.,
本文,薬を手に入れないと…,
アクター設定,常連客筆頭 通常
本文,おいっ アンタ！\.,
本文,なにやってんだよ,
アクター設定,アーシア 驚き・動揺
本文,ん…？\.,
本文,あたしっすか？,
アクター設定,市場の人 通常
本文,早く逃げろ！,
アクター設定,市場の人 通常
本文,そっちに向かって\.,
本文,荷物が転がっているんだ！,
アクター設定,アーシア 驚き・動揺
本文,荷物…？,
アクター設定,アーシア 通常
本文,たしかに音が近づいているような…,
アクター設定,アーシア 驚き・動揺
本文,って！\.,
本文,市場の荷物！？,
アクター設定,市場の人 通常
本文,見えてないのか！\.,
本文,くそっ！,
アクター設定,アーシア 驚き・動揺
本文,どっちから！？,
アクター設定,アーシア 驚き・動揺
本文,どこから向かってきてるんです！？,
アクター設定,市場の人 通常
本文,やばい！\.,
本文,間に合わないか！,
アクター設定,アーシア 苦痛・ダメージ
本文,うへぇ！\.,
本文,腕 つかまれたっ！,
アクター設定,アーシア 苦痛・ダメージ
本文,…,
アクター設定,市場の人 通常
本文,大丈夫か！\.,
本文,あんたたち！？,
アクター設定,アーシア 苦痛・ダメージ
本文,…,
アクター設定,アーシア 通常
本文,あれ…？,
アクター設定,アーシア 通常
本文,あたし なんともない,
アクター設定,常連客筆頭 通常
本文,おい あれ,
本文,孤児院のねーちゃんじゃないか？,
アクター設定,チャラ男 通常
本文,ほんとだ すげぇ…,
アクター設定,ソラ 不信・怒り
本文,って そこ！\.,
本文,見てるんじゃない,
アクター設定,ソラ 不信・怒り
本文,荷物 どかしといて！,
アクター設定,チャラ男 通常
本文,えっ…？\.,
本文,俺たちが？,
アクター設定,ソラ 不信・怒り
本文,何言ってんの？\.,
本文,他にいないじゃない,
アクター設定,アーシア 通常
本文,なんか\.,
本文,助かったっぽい？,
アクター設定,アーシア 苦痛・ダメージ
本文,うっへぇ\.,
本文,また腕 つかまれたっ！,
アクター設定,ソラ 不信・怒り
本文,ちょっと アンタ,
アクター設定,アーシア 悲しみ・焦り
本文,あたし…\.,
本文,どうなってるんです！？,
アクター設定,アーシア 悲しみ・焦り
本文,助かったんです！？,
アクター設定,ソラ 不信・怒り
本文,はぁ？,
アクター設定,ソラ 特殊１
本文,バカ言ってんじゃない,
アクター設定,ソラ 不信・怒り
本文,いいから ついてくる！,
