アクター設定,アーシア 勝利・喜び
本文,\N[5]少年から,
本文,ありがとうを頂いたので！,
アクター設定,アーシア 笑顔
本文,あたしはやるっすよ！\.,
本文,首をそろえて待っててくだしあ！,
アクター設定,アーシア 通常
本文,とはいえですねぇ…,
アクター設定,アーシア 通常
本文,\N[14]さんのこと,
本文,まだ解決してないですから,
アクター設定,アーシア 悲しみ・焦り
本文,できることなら\.,
本文,協力したいと思っているわけでして,
アクター設定,カイト 不信・怒り
本文,…,
アクター設定,アーシア 不信・怒り
本文,一度請けた仕事は\.,
本文,責任もって成功させるのが,
アクター設定,アーシア 不信・怒り
本文,あたしのモットーなんで,
アクター設定,カイト 不信・怒り
本文,はい…\.,
本文,ありがとうございます,
アクター設定,アーシア 驚き・動揺
本文,あ…！,
アクター設定,アーシア 悲しみ・焦り
本文,ひさびさっすね\.,
本文,こうやって話すの…,
アクター設定,カイト 不信・怒り
本文,…,
アクター設定,アーシア 不信・怒り
本文,ちょい ちょい！,
アクター設定,アーシア 不信・怒り
本文,いくら\N[5]少年でも\.,
本文,だんまりはなしですぜ！,
アクター設定,カイト 不信・怒り
本文,…ごめんなさい,
