アクター設定,ソラ 通常
本文,お金は後で出すから\.,
本文,良いものを選んでくるんだよ,
アクター設定,カイト 通常
本文,わかりました,
アクター設定,ソラ 驚き・動揺
本文,悪い \N[5]\.,
本文,\N[3]へのプレゼントなんだけど,
アクター設定,カイト 笑顔
本文,ボクで良ければ\.,
本文,買ってきましょうか？,
アクター設定,ソラ 笑顔
本文,フフ…\.,
本文,気が利くじゃない,
アクター設定,カイト 通常
本文,いえボクも,
本文,まだ用意していなかっただけですよ,
アクター設定,ソラ 驚き・動揺
本文,だったら,
本文,お互い様じゃない,
アクター設定,カイト 通常
本文,まぁ そうなんだけど,
アクター設定,ソラ 笑顔
本文,なんてね…,
アクター設定,ソラ 通常
本文,お金は後で出すから\.,
本文,良いものを選んでくるんだよ,
アクター設定,カイト 通常
本文,わかりました,
アクター設定,カイト 通常
本文,慰労会の準備\.,
本文,お願いしますね,
アクター設定,ソラ 笑顔
本文,それは\.,
本文,任せといて！,
アクター設定,カイト 通常
本文,プレゼントは用意しましたか？,
アクター設定,ソラ 笑顔
本文,…,
アクター設定,ソラ 特殊１
本文,…忘れてた,
