アクター設定,緊張しい魔法使い 通常
本文,あ…！\.,
本文,\N[5]さん,
アクター設定,カイト 通常
本文,おひさしぶりです！,
アクター設定,カイト 笑顔
本文,お仕事の巡回ですか？,
アクター設定,緊張しい魔法使い 通常
本文,はい！\.,
本文,もうすぐ終わりますけど,
アクター設定,カイト 不信・怒り
本文,ごめんなさい,
アクター設定,カイト 不信・怒り
本文,勝手に魔法使い辞めちゃって\.,
本文,迷惑でしたよね…？,
アクター設定,緊張しい魔法使い 通常
本文,いえいえ！\.,
本文,そんなことないです,
アクター設定,緊張しい魔法使い 通常
本文,たしかに…\.,
本文,忙しくなりましたけど,
アクター設定,緊張しい魔法使い 通常
本文,今は仕事してる時が楽しいんです！,
アクター設定,カイト 通常
本文,それなら…\.,
本文,良かったです,
アクター設定,緊張しい魔法使い 通常
本文,えへへ…,
アクター設定,緊張しい魔法使い 通常
本文,\N[5]さんは\.,
本文,準備中でしょうか？,
アクター設定,緊張しい魔法使い 通常
本文,例の…\.,
本文,極秘送迎会の！,
アクター設定,カイト 通常
本文,はい\. それで,
本文,\N[3]さんを迎えにいくところです,
アクター設定,緊張しい魔法使い 通常
本文,そうだったんですね！,
アクター設定,緊張しい魔法使い 通常
本文,でしたら\.,
本文,ご一緒しても良いでしょうか,
アクター設定,カイト 笑顔
本文,はい\. 喜んで,
アクター設定,緊張しい魔法使い 通常
本文,\N[3]さんは館にいらっしゃいますよ,
