アクター設定,マリー 笑顔
本文,やぁ \N[5]くん\.,
本文,大活躍だったみたいだね,
アクター設定,カイト 驚き・動揺
本文,\N[4]先生…,
アクター設定,マリー 通常
本文,今なら魔法使っても,
本文,誰も文句言ってこないだろうし,
アクター設定,マリー 通常
本文,みんな\. 魔法使いを頼ってくれるし,
アクター設定,マリー 笑顔
本文,言うことなしだね,
アクター設定,カイト 不信・怒り
本文,…,
アクター設定,カイト 不信・怒り
本文,この街は\.,
本文,どうなるんでしょう？,
アクター設定,カイト 不信・怒り
本文,まだ\. マモノは,
本文,襲ってくるんでしょうか,
アクター設定,マリー 通常
本文,んー…\.,
本文,さすがにアタシでもわかんないね,
アクター設定,マリー 通常
本文,もし仮にそうなったら\.,
本文,\N[5]くんは どうする？,
アクター設定,マリー 通常
本文,戦うかね？,
アクター設定,カイト 不信・怒り
本文,…,
アクター設定,カイト 不信・怒り
本文,ボクは…\^,
アクター設定,マリー 不信・怒り
本文,あー やっぱり,
アクター設定,マリー 不信・怒り
本文,何も答えなくてシャーラップだよ,
アクター設定,カイト 驚き・動揺
本文,えっ？,
アクター設定,マリー 驚き・動揺
本文,即答できない時点で\.,
本文,迷ってるってことじゃん,
アクター設定,カイト 不信・怒り
本文,それは…\.,
本文,まだ心の整理がついてないから,
アクター設定,マリー 不信・怒り
本文,あのね…\.,
本文,\N[5]くん,
アクター設定,マリー 不信・怒り
本文,キミはヒーローでもないし\.,
本文,戦いのスペシャリストでもないんだから,
アクター設定,マリー 驚き・動揺
本文,それが普通だよ？,
アクター設定,マリー 驚き・動揺
本文,むしろ\. 戦いたい\.,
本文,って思う方が異常なんだよ？,
