アクター設定,マリー 不信・怒り
本文,いずれ…\.,
本文,この世界から魔法はなくなるよ,
アクター設定,アーシア 不信・怒り
本文,えっ…？,
アクター設定,マリー 不信・怒り
本文,つまり…\.,
本文,アタシが動き出さなくても,
アクター設定,マリー 不信・怒り
本文,今後\N[1]のような\.,
本文,個体は生まれることはないし,
アクター設定,マリー 不信・怒り
本文,誰もエーテル中毒にならない\.,
本文,世界が来るんだよ,
アクター設定,アーシア 不信・怒り
本文,…,
アクター設定,アーシア 不信・怒り
本文,…,
アクター設定,アーシア 驚き・動揺
本文,\N[4]さん\.,
本文,本当は魔法の研究したいんですよね？,
アクター設定,アーシア 通常
本文,でしたら\.,
本文,作ってくださいよ,
アクター設定,アーシア 勝利・喜び
本文,あたしが,
本文,長生きできる特効薬とか,
アクター設定,マリー 通常
本文,興味ないね,
アクター設定,アーシア 勝利・喜び
本文,即答っすか…,
アクター設定,マリー 通常
本文,違う違う\.,
本文,そうじゃない,
アクター設定,マリー 笑顔
本文,\N[1]が長生きすることに,
本文,興味がないってだけで,
アクター設定,マリー 通常
本文,特効薬みたいなものは,
本文,作ろうと思っている,
アクター設定,アーシア 不信・怒り
本文,んあ？,
アクター設定,アーシア 通常
本文,マジっすか！？,
アクター設定,マリー 特殊１
本文,\N[1]が長生きすることに,
本文,興味はないけど,
アクター設定,アーシア 勝利・喜び
本文,なんでそこは強調するんです？,
アクター設定,アーシア 通常
本文,あたしにとっては\.,
本文,悪くない薬ですよ,
アクター設定,アーシア 笑顔
本文,エーテル\.,
本文,ありがとう\. 良い薬です！,
アクター設定,マリー 笑顔
本文,でもさ…\.,
本文,飲まないに越したことないじゃん,
アクター設定,アーシア 不信・怒り
本文,そりゃそうですけど！,
アクター設定,マリー 通常
本文,そもそも\.,
本文,そんな身体にならなけりゃ良いんだよ,
アクター設定,マリー 笑顔
本文,簡単なことじゃん,
アクター設定,アーシア 不信・怒り
本文,むぅ…,
アクター設定,マリー 通常
本文,やぁ\.,
本文,ヤク中じゃん,
アクター設定,マリー 笑顔
本文,元気にしておるかね？,
アクター設定,アーシア 不信・怒り
本文,その呼び方やめません？,
アクター設定,マリー 驚き・動揺
本文,えぇー\.,
本文,本当のことじゃん,
アクター設定,アーシア 勝利・喜び
本文,悪いイメージ\.,
本文,ついちゃうじゃないですか,
アクター設定,マリー 驚き・動揺
本文,えぇー！\.,
アクター設定,マリー 通常
本文,あのねぇ…,
アクター設定,マリー 驚き・動揺
本文,この世に悪くない薬など\.,
本文,存在しないのだよ,
アクター設定,アーシア 驚き・動揺
本文,…？,
