アクター設定,アーシア 通常
本文,そんなことより\.,
本文,料理ができる方がマシですって,
アクター設定,アーシア 勝利・喜び
本文,あたしの雇い主\.,
本文,火が苦手で生野菜ばっかり出すんですよ！,
アクター設定,オルフェ 通常
本文,市場の野菜\.,
本文,美味しいですよ,
アクター設定,アーシア 笑顔
本文,おかげで\.,
本文,肌ツヤは絶好調なんですけどね,
アクター設定,アーシア 通常
本文,\N[13]さんは魔法使えないんです？,
アクター設定,オルフェ 通常
本文,いえ…\.,
本文,でも あまり好きじゃないです,
アクター設定,オルフェ 通常
本文,怖いから…,
アクター設定,アーシア 驚き・動揺
本文,ほぅ,
アクター設定,オルフェ 通常
本文,みんな戦ってったのに,
本文,一人だけ隠れてました,
アクター設定,オルフェ 通常
本文,良くないですよね,
アクター設定,アーシア 不信・怒り
本文,うーん…,
アクター設定,アーシア 通常
本文,別に良いんじゃないです？,
アクター設定,アーシア 笑顔
本文,マモノも魔法も\.,
本文,怖くて当たり前ですって,
アクター設定,オルフェ 通常
本文,あの…\.,
本文,ありがとうございました,
アクター設定,アーシア 驚き・動揺
本文,ん…？\.,
本文,あたし何かしましたっけ？,
アクター設定,オルフェ 通常
本文,マモノに襲われそうだった\.,
本文,\N[6]さんと\N[7]さんを護ってました,
アクター設定,アーシア 驚き・動揺
本文,もしかして…？\.,
本文,あたしの活躍\. 見てたんです？,
アクター設定,オルフェ 通常
本文,ぼく…\.,
本文,物陰で隠れてて何もできませんでした,
アクター設定,アーシア 通常
本文,こんにちわ！,
アクター設定,オルフェ 通常
本文,あ…,
アクター設定,オルフェ 通常
本文,マモノと戦ってた人だ,
アクター設定,アーシア 笑顔
本文,おや…？\.,
本文,あたしってば有名人？,
