アクター設定,ものぐさ魔法使い 通常
本文,あーあ…\.,
本文,ちゃんと勉強してればなぁ,
アクター設定,ものぐさ魔法使い 通常
本文,今よりもっと\.,
本文,仕事できたと思うんスけど,
アクター設定,アーシア 通常
本文,今からでも,
本文,始めりゃ良いじゃないですか,
アクター設定,ものぐさ魔法使い 通常
本文,んー…,
アクター設定,ものぐさ魔法使い 通常
本文,仕事あるからなぁ,
アクター設定,アーシア 勝利・喜び
本文,じゃあ,
本文,辞めれば良いじゃないですか,
アクター設定,ものぐさ魔法使い 通常
本文,変なこと\.,
本文,ささやかないでくださいっス,
アクター設定,ものぐさ魔法使い 通常
本文,魔が差しちゃうじゃないでスか！,
アクター設定,ものぐさ魔法使い 通常
本文,\N[1]さんって,
本文,どこで魔法を覚えたんス？,
アクター設定,ものぐさ魔法使い 通常
本文,魔法学校の出身じゃないっスよね？,
アクター設定,アーシア 通常
本文,んー…,
アクター設定,アーシア 勝利・喜び
本文,わからないっす,
アクター設定,ものぐさ魔法使い 通常
本文,えぇ！？,
アクター設定,アーシア 通常
本文,正規の使い方があるなら…\.,
本文,教えて欲しいくらいですぜ,
