アクター設定,怪しい女 通常
本文,人通りが増えたて,
本文,引っかけやすくなったよ,
アクター設定,アーシア 勝利・喜び
本文,まさに\.,
本文,精がでますなぁ！,
アクター設定,怪しい女 通常
本文,…？,
アクター設定,怪しい女 通常
本文,\N[1]…\.,
本文,今の流行りはパパ活だよ,
アクター設定,アーシア 通常
本文,へぇ…,
アクター設定,怪しい女 通常
本文,あら\.,
本文,\N[1]じゃない,
アクター設定,怪しい女 通常
本文,少し瘦せた？,
アクター設定,アーシア 通常
本文,ん…？,
アクター設定,アーシア 驚き・動揺
本文,別に変わってないと思いますけど,
アクター設定,怪しい女 通常
本文,食べないと\.,
本文,お客さんつかないよ？,
アクター設定,アーシア 勝利・喜び
本文,そっちの仕事はしませんですって,
アクター設定,怪しい女 通常
本文,そう？\.,
本文,ちゃんと毎日 鑑見てる？,
アクター設定,アーシア 勝利・喜び
本文,見てますよ！\.,
本文,失礼な,
アクター設定,アーシア 通常
本文,（まぁ…\.,
本文,　視力が調子良い時だけですけどね）,
