アクター設定,普通のおねえさん 通常
本文,とにかく\.,
本文,ご利益があるみたいだから,
アクター設定,普通のおねえさん 通常
本文,キミも神社に行ってみるといいよ,
アクター設定,普通のおねえさん 通常
本文,今からちょうど,
本文,五年ぐらい前かなぁ,
アクター設定,普通のおねえさん 通常
本文,ロストワールドから,
本文,不思議な雰囲気の人たちがやってきて,
アクター設定,普通のおねえさん 通常
本文,この神社を建て替えたんだ,
アクター設定,カイト 通常
本文,へぇ…\.,
本文,知らなかった,
アクター設定,普通のおねえさん 通常
本文,それから\.,
本文,ロストワールドの復興にあやかって,
アクター設定,普通のおねえさん 通常
本文,失った何かを取り戻せる！\.,
本文,とか何とか…,
アクター設定,普通のおねえさん 通常
本文,とにかく\.,
本文,ご利益があるみたいだから,
アクター設定,普通のおねえさん 通常
本文,キミも神社に行ってみるといいよ,
アクター設定,普通のおねえさん 通常
本文,こんにちわ\.,
本文,お参りの方でしょうか？,
アクター設定,カイト 通常
本文,お参り…？,
アクター設定,普通のおねえさん 通常
本文,あれ…\.,
本文,観光ではないのかい？,
