アクター設定,マリー 不信・怒り
本文,（あーあ…\.,
本文,　普通の授業って退屈…）,
アクター設定,マリー 通常
本文,授業終わったし\. 帰るか…,
アクター設定,マリー 不信・怒り
本文,何…？\.,
本文,邪魔なんだけど,
アクター設定,女生徒Ａ 通常
本文,聞いたよ？\.,
本文,魔法の研究\. 辞めさせられたんだって？,
アクター設定,女生徒Ｂ 通常
本文,当然よね…,
アクター設定,女生徒Ｂ 通常
本文,魔法なんて害でしかないんだし,
アクター設定,マリー 不信・怒り
本文,…,
アクター設定,マリー 苦痛・ダメージ
本文,いったぁ…！\.,
本文,何すんの！？,
アクター設定,女生徒Ａ 通常
本文,調子のってんなよ\.,
本文,偉そうにしやがって,
アクター設定,マリー 驚き・動揺
本文,はっ！？,
アクター設定,女生徒Ｂ 通常
本文,姉がいないと\.,
本文,何もできないくせに,
アクター設定,マリー 不信・怒り
本文,お姉ちゃんは関係ないでしょ！,
アクター設定,マリー 苦痛・ダメージ
本文,暴力ふるって\.,
本文,楽しい…？,
アクター設定,マリー 驚き・動揺
本文,自分たちより優れている人を叩いて\.,
本文,気持ちいいわけ？,
アクター設定,女生徒Ａ 通常
本文,こいつっ！,
アクター設定,女生徒Ａ 通常
本文,笑えるな\.,
本文,教師も見て見ぬふりだよ,
アクター設定,女生徒Ａ 通常
本文,随分\. 嫌われてるんだな？,
アクター設定,女生徒Ｂ 通常
本文,生徒会長の姉…\.,
本文,卒業して\. もういない,
アクター設定,女生徒Ｂ 通常
本文,あなたの味方は\.誰もいない,
