0,
1,
2,
3,以下は、メニューを開いたとき、戦闘用のスキルより,上部に表示したいスキル用の枠です。,
4,
5,
6,
7,
8,
9,
10,
11,
12,敵単体に対して連続して攻撃を行う。,
13,ランダムな敵単体に対して２回攻撃を行う。,
14,ランダムな敵単体に対して３回攻撃を行う。,
15,使用者が戦闘から離脱する。,
16,様子を見る。,
17,敵単体のＨＰを吸収する。,
18,使用者のＨＰを回復する。,
19,敵単体に麻痺針を刺し、麻痺状態にする。,
20,敵単体にダメージを与え、バランスを崩す。,
21,敵単体に雷属性のダメージを与え、麻痺状態にする。,
22,敵単体に粘液を付着させ、敏捷性を下げる。,
23,敵単体に毒液を噴きかけ、毒状態にする。,
24,使用者の闘志を奮い立たたせ、能力を強化する。,
25,敵単体のＭＰを吸収する。,
26,敵単体を睨みつけ、麻痺状態にする。,
27,敵単体を暗闇状態にする。,
28,敵全体を暗闇状態にする。,
29,敵全体を暗闇状態にする。,
30,敵全体を毒状態にする。,
31,敵全体を睡眠状態にする。,
32,敵全体を魅了する。,
33,敵全体の魔法を封印する。,
34,敵全体を混乱状態にする。,
35,敵全体に土属性のダメージを与える。,
36,敵全体に風属性のダメージを与える。,
37,敵全体に炎属性のダメージを与える。,
38,敵全体に氷属性のダメージを与える。,
39,敵全体に土属性のダメージを与える。,
40,敵全体に水属性のダメージを与える。,
41,敵単体にダメージを与える。,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,味方単体のＨＰを回復する。,
53,味方単体のＨＰを回復する。,
54,味方単体のＨＰを回復する。,
55,
56,味方全体のＨＰを回復する。,
57,味方全体のＨＰを回復する。,
58,味方全体のＨＰを回復する。,
59,
60,味方単体の毒・麻痺・睡眠を治療する。,
61,味方単体の戦闘不能以外の状態異常を治療する。,
62,味方全体の戦闘不能以外の状態異常を治療する。,
63,
64,味方単体を戦闘不能から復活させる。,
65,味方単体を戦闘不能から復活させ、ＨＰを大きく回復する。,
66,
67,
68,
69,
70,
71,敵全体を毒状態にする。,
72,敵全体を暗闇状態にする。,
73,敵全体を混乱状態にする。,
74,敵全体の魔法を封印する。,
75,敵全体を睡眠状態にする。,
76,敵全体を麻痺状態にする。,
77,
78,
79,
80,
81,味方単体の攻撃力を上げる。,２回まで重ねがけできる。,
82,敵全体の攻撃力を下げる。,２回まで重ねがけできる。,
83,味方単体の防御力を上げる。,２回まで重ねがけできる。,
84,敵全体の防御力を下げる。,２回まで重ねがけできる。,
85,味方単体の魔法力を上げる。,２回まで重ねがけできる。,
86,敵全体の魔法力を下げる。,２回まで重ねがけできる。,
87,味方単体の魔法防御力を上げる。,２回まで重ねがけできる。,
88,敵全体の魔法防御力を下げる。,２回まで重ねがけできる。,
89,味方単体の敏捷を上げる。,２回まで重ねがけできる。,
90,敵全体の敏捷性を下げる。,２回まで重ねがけできる。,
91,敵単体のＨＰを吸収する。,
92,敵単体のＭＰを吸収する。,
93,
94,
95,
96,
97,
98,
99,敵単体に炎属性のダメージを与える。,
100,敵単体に炎属性のダメージを与える。,
101,敵単体に炎属性のダメージを与える。,
102,
103,敵全体に炎属性のダメージを与える。,
104,敵全体に炎属性のダメージを与える。,
105,敵全体に炎属性のダメージを与える。,
106,
107,敵単体に氷属性のダメージを与える。,
108,敵単体に氷属性のダメージを与える。,
109,敵単体に氷属性のダメージを与える。,
110,
111,敵全体に氷属性のダメージを与える。,
112,敵全体に氷属性のダメージを与える。,
113,敵全体に氷属性のダメージを与える。,
114,
115,敵単体に雷属性のダメージを与える。,
116,敵単体に雷属性のダメージを与える。,
117,敵単体に雷属性のダメージを与える。,
118,
119,敵全体に雷属性のダメージを与える。,
120,敵全体に雷属性のダメージを与える。,
121,敵全体に雷属性のダメージを与える。,
122,
123,敵単体に水属性のダメージを与える。,
124,敵単体に水属性のダメージを与える。,
125,
126,敵全体に水属性のダメージを与える。,
127,敵全体に水属性のダメージを与える。,
128,
129,敵単体に土属性のダメージを与える。,
130,敵単体に土属性のダメージを与える。,
131,
132,敵全体に土属性のダメージを与える。,
133,敵全体に土属性のダメージを与える。,
134,
135,敵単体に風属性のダメージを与える。,
136,敵単体に風属性のダメージを与える。,
137,
138,敵全体に風属性のダメージを与える。,
139,敵全体に風属性のダメージを与える。,
140,
141,敵単体に光属性のダメージを与える。,
142,敵単体に光属性のダメージを与える。,
143,
144,敵全体に光属性のダメージを与える。,
145,敵全体に光属性のダメージを与える。,
146,
147,敵単体に闇属性のダメージを与える。,
148,敵単体に闇属性のダメージを与える。,
149,
150,敵全体に闇属性のダメージを与える。,
151,敵全体に闇属性のダメージを与える。,
152,
153,敵単体に防御無視のダメージを与える。,
154,敵単体に防御無視のダメージを与える。,
155,
156,敵全体に防御無視のダメージを与える。,
157,敵全体に防御無視のダメージを与える。,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,敵単体に対して強力な攻撃を行う。,
173,敵全体に対して攻撃を行う。,
174,敵単体に対して２回攻撃を行う。,
175,使用者の闘志を奮い立たたせ、攻撃力を上げる。,２回まで重ねがけできる。,
176,味方単体のＨＰを回復する。,
177,敵単体に対して超強力な攻撃を行う。,
178,敵全体に対して強攻撃を行う。,
179,
180,
181,
182,
183,
184,
185,
186,味方全体の防御力・魔法防御力を上げる。,２回まで重ねがけできる。,
187,５ターンの間、使用者の魔法力を大幅に上げる。,
188,味方全体の闘志を奮い立たたせ、攻撃力を上げる。,２回まで重ねがけできる。,
189,敵全体に防御無視のダメージを与える。,
190,５ターンの間、炎属性を付与する。,
191,５ターンの間、氷属性を付与する。,
192,５ターンの間、雷属性を付与する。,
193,５ターンの間、使用者に向けられた攻撃魔法を反射する。,
194,
195,
196,１ターンの間、ＨＰの少ない味方を自動的にかばう。,
197,誰よりも早く敵単体に攻撃を行なう。,
198,敵単体に対して２回攻撃を行う。,
199,敵全体に防御無視のダメージを与える。,
200,味方全体の闘志を奮い立たたせ、攻撃力を上げる。,２回まで重ねがけできる。,
201,敵全体に対して攻撃を行う。,
202,使用者のＴＰを少し増やす。,
203,敵４体に対してランダムに４回攻撃を行う。,
204,
205,
206,敵単体を暗闇状態にする。,
207,使用者の敏捷性を上げる。,
208,敵全体を暗闇状態にする。,
209,アイテムのドロップ率を上げる。,
210,敵全体に風属性のダメージを与える。,
211,標的になりにくくする。,
212,
213,
214,
215,
216,敵全体にダメージを与え、バランスを崩す。,
217,使用者の弱体化を治療する。,
218,敵全体に大ダメージを与える。,
219,敵単体に防御無視のダメージを与える。,
220,
221,
222,
223,
224,
225,
226,敵単体の攻撃力と防御力を下げる。,
227,敵全体の足元を打ち抜き、バランスを崩す。,
228,敵単体に5回ダメージを与える。,
229,敵全体に２回ダメージを与える。,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,
254,
255,
256,
257,
258,
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,
269,
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,
280,
281,
282,
283,
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,
297,
298,
299,
300,
