0,
1,攻撃,
2,防御,
3,-----予備,
4,
5,
6,
7,
8,
9,
10,
11,-----エネミー,
12,連続攻撃,
13,２回攻撃,
14,３回攻撃,
15,逃げる,
16,様子を見る,
17,吸血,
18,瞑想,
19,痺れ針,
20,体当たり,
21,電撃,
22,粘液,
23,毒液,
24,咆哮,
25,奇妙なダンス,
26,麻痺睨み,
27,目潰し,
28,砂けむり,
29,閃光,
30,猛毒の霧,
31,子守唄,
32,誘惑の歌,
33,沈黙の歌,
34,超音波,
35,石つぶて,
36,鎌いたち,
37,ファイアブレス,
38,アイスブレス,
39,地震,
40,津波,
41,ひっかく,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,-----基本の魔法,
52,ヒールⅠ,
53,ヒールⅡ,
54,ヒールⅢ,
55,
56,リカバーⅠ,
57,リカバーⅡ,
58,リカバーⅢ,
59,
60,キュアーⅠ,
61,キュアーⅡ,
62,キュアーⅢ,
63,
64,レイズⅠ,
65,レイズⅡ,
66,
67,
68,
69,
70,
71,ポイズン,
72,ブラインド,
73,コンフューズ,
74,サイレンス,
75,スリープ,
76,パラライズ,
77,
78,
79,
80,
81,ウェポンブレス,
82,ウェポンカース,
83,アーマーブレス,
84,アーマーカース,
85,スピリットブレス,
86,スピリットカース,
87,ディバインブレス,
88,ディバインカース,
89,クイックムーブ,
90,スロームーブ,
91,ライフドレイン,
92,マナドレイン,
93,
94,
95,
96,
97,
98,
99,ファイアⅠ,
100,ファイアⅡ,
101,ファイアⅢ,
102,
103,フレイムⅠ,
104,フレイムⅡ,
105,フレイムⅢ,
106,
107,アイスⅠ,
108,アイスⅡ,
109,アイスⅢ,
110,
111,ブリザードⅠ,
112,ブリザードⅡ,
113,ブリザードⅢ,
114,
115,サンダーⅠ,
116,サンダーⅡ,
117,サンダーⅢ,
118,
119,スパークⅠ,
120,スパークⅡ,
121,スパークⅢ,
122,
123,ウォーターⅠ,
124,ウォーターⅡ,
125,
126,ウェーブⅠ,
127,ウェーブⅡ,
128,
129,ストーンⅠ,
130,ストーンⅡ,
131,
132,クェイクⅠ,
133,クェイクⅡ,
134,
135,ウインドⅠ,
136,ウインドⅡ,
137,
138,トルネードⅠ,
139,トルネードⅡ,
140,
141,セイントⅠ,
142,セイントⅡ,
143,
144,スターライトⅠ,
145,スターライトⅡ,
146,
147,シェイドⅠ,
148,シェイドⅡ,
149,
150,ダークネスⅠ,
151,ダークネスⅡ,
152,
153,バーストⅠ,
154,バーストⅡ,
155,
156,ニュークリアⅠ,
157,ニュークリアⅡ,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,-----剣士系スキル,
172,強撃,
173,薙ぎ払い,
174,連続攻撃,
175,気合い,
176,応急処置,
177,乙女の構え,
178,スピンクラッシュ,
179,
180,
181,
182,
183,
184,
185,-----僧侶・魔法使い系スキル,
186,マジックバリア,
187,スペルエンハンス,
188,エール,
189,メテオ,
190,ファイアウェポン,
191,アイスウェポン,
192,サンダーウェポン,
193,マジックミラー,
194,
195,-----騎士系スキル,
196,かばう,
197,隼突き,
198,二段突き,
199,鎧通し,
200,一喝,
201,風車,
202,心頭滅却,
203,乱れ突き,
204,
205,-----盗賊系スキル,
206,目潰し,
207,準備運動,
208,閃光弾,
209,隙をうかがう,
210,風呼び,
211,隠れる,
212,
213,
214,
215,-----格闘家系スキル,
216,足払い,
217,気孔術,
218,回し蹴り,
219,猛虎乱舞,
220,
221,
222,
223,
224,
225,-----狩人系スキル,
226,ポイントショット,
227,スタンショット,
228,チームショット,
229,レインショット,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,-----ロールスキル,
251,戦士ボーナス,
252,
253,
254,
255,
256,
257,
258,
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,
269,
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,
280,
281,
282,
283,
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,
297,
298,
299,
300,
